cod_barrio_ine,valor,metraje,lat,lng,valor_metro
1,260000.0,291.0,-34.90656,-56.205595,852.9411764705883
2,260000.0,245.5,-34.903845000000004,-56.188555,1011.2359550561798
3,170000.0,130.0,-34.910045,-56.18621,1390.0
4,200000.0,150.0,-34.90218,-56.17606,1386.4734299516908
5,200000.0,139.0,-34.9111,-56.1807,1478.2608695652175
6,298000.0,164.0,-34.90818,-56.168530000000004,1785.7142857142858
7,519999.5,198.5,-34.91986,-56.15915,2559.8290598290596
8,370000.0,164.0,-34.90712,-56.150605,2194.890510948905
9,220000.0,108.0,-34.895835,-56.13136,2074.086719016729
10,265000.0,137.5,-34.89666,-56.14909,2111.1111111111113
11,310000.0,155.0,-34.89047,-56.108305,2090.909090909091
12,147000.0,104.0,-34.88053,-56.11153,1316.8316831683169
13,480000.0,220.0,-34.89227,-56.08229,2200.0
14,495000.0,210.0,-34.883325,-56.065125,2340.0
15,315000.0,150.0,-34.87387,-56.068619999999996,2068.9655172413795
16,340000.0,115.0,-34.87091,-56.020939999999996,3000.0
17,90000.0,90.0,-34.855685,-56.132335,977.7777777777778
18,750000.0,378.0,,,1984.126984126984
20,85000.0,82.0,-34.82536,-56.08906,930.952380952381
21,65000.0,80.0,-34.837675000000004,-56.137675,857.1428571428571
22,86500.0,84.0,-34.84742,-56.14904,994.3181818181818
23,129000.0,103.0,-34.87674,-56.137344999999996,1212.121212121212
24,89000.0,86.5,-34.8648,-56.14465,1075.4870129870128
25,110000.0,100.0,-34.84403,-56.23957,1000.0
26,116000.0,100.0,-34.85906,-56.155675,1186.046511627907
27,99000.0,91.0,-34.85349,-56.169525,1132.0812807881775
28,89000.0,120.0,-34.841965,-56.15898,912.0879120879121
29,120000.0,100.0,-34.853355,-56.188195,1253.5211267605634
30,86000.0,108.0,-34.81311,-56.17469,796.2962962962963
31,84500.0,112.0,-34.826955,-56.14107,819.0650406504064
34,96500.0,131.5,-34.82386,-56.20679,848.9974937343359
35,95000.0,110.0,-34.88276,-56.25312,885.7142857142857
36,49000.0,53.0,-34.88703,-56.27425,924.5283018867924
38,79500.0,90.0,-34.86297,-56.23641,948.75
39,259250.0,160.0,-34.86356,-56.202805,1674.8914092664093
40,139500.0,100.0,-34.86992,-56.212365000000005,1364.655172413793
41,147000.0,147.0,-34.88702,-56.18795,1057.8512396694214
42,142000.0,120.0,-34.87619,-56.18776,1235.8386075949365
43,190000.0,114.0,-34.86456,-56.189715,1717.391304347826
44,179000.0,110.0,-34.87454,-56.1735,1487.3417721518988
45,134000.0,90.0,,,1340.0
46,155000.0,200.0,-34.876270000000005,-56.165925,777.7777777777778
47,240000.0,133.0,-34.88239,-56.16009,1770.412642669008
48,122500.0,94.5,-34.888095,-56.17714,1172.6190476190477
49,145000.0,102.5,-34.88704,-56.17369,1332.3899015057173
50,235000.0,156.0,-34.893965,-56.169669999999996,1478.494623655914
51,170000.0,107.0,-34.86494,-56.178985,1520.0
52,135000.0,106.0,-34.83159,-56.21569,1263.888888888889
54,115000.0,131.0,-34.85125,-56.22808,993.75
55,196000.0,210.0,-34.86743,-56.33395,925.0
57,89000.0,120.0,-34.8336,-56.28244,726.3636363636364
58,139500.0,134.0,-34.80554,-56.22383,1124.702380952381
59,80000.0,110.0,-34.80346,-56.07972,636.3636363636364
60,114000.0,90.0,-34.80013,-56.24638,1083.3333333333333
62,87000.0,97.5,-34.804919999999996,-56.143405,892.0765027322404
