desc,valor,metraje,url,lat,lng
3 Dormitorios en Aires Puros,$U 190.000,110.0,https://www.gallito.com.uy/excelente-garaje-2-autos-jaridn-fondo-piscina-parrillero-inmuebles-22201433,,
3 Dormitorios en Prado,U$S 15.500,100.0,https://www.gallito.com.uy/gran-oportunidad-inmuebles-21289775,-34.85913,-56.20633
3 Dormitorios en Villa Española,U$S 38.000,150.0,https://www.gallito.com.uy/casa-3-dormitorios-con-patio-usd-38000-mas-saldo-anv-inmuebles-21842818,-34.86785,-56.14285
2 Dormitorios en La Teja,U$S 39.900,60.0,https://www.gallito.com.uy/economica-con-terreno-cochera-y-galpon-inmuebles-20427489,-34.8572,-56.24105
2 Dormitorios en Colon,U$S 45.000,50.0,https://www.gallito.com.uy/oficina-sosa-proximo-a-av-lezica-casa-en-ph-al-fondo-sobr-inmuebles-20974900,-34.80505,-56.23007
2 Dormitorios en La Teja,U$S 48.000,50.0,https://www.gallito.com.uy/casa-a-1-cuadra-de-la-avenida-inmuebles-20260958,-34.86604,-56.23782
1 Dormitorio en Villa Española,U$S 48.000,39.0,https://www.gallito.com.uy/oficina-sosa-apto-1-dorm-en-mercado-modelo-alquilado-inmuebles-17795367,-32.87555,-56.02015
4 Dormitorios en Cerrito,U$S 49.000,97.0,https://www.gallito.com.uy/oportunidad-casa-de-4-dormitorios-a-reparar-en-cerrito-inmuebles-17825081,-34.85944,-56.15642
2 Dormitorios en J. Hipodromo,U$S 50.000,70.0,https://www.gallito.com.uy/casa-en-venta-jardines-del-hipodromo-lars-inmuebles-21036475,-34.83717,-56.15027
2 Dormitorios en Union,U$S 50.000,50.0,https://www.gallito.com.uy/gran-oportunidad-vende-casita-al-frente-inmuebles-21115138,,
1 Dormitorio en Perez Castellanos,U$S 53.000,33.0,https://www.gallito.com.uy/perez-castellanos-tobas-proximo-al-antel-arena-inmuebles-22011059,,
1 Dormitorio en Cerrito,U$S 53.000,33.0,https://www.gallito.com.uy/baldovino-cerrito-tobas-proximo-antel-arena-inmuebles-22011006,,
3 Dormitorios en Cerro,U$S 55.000,,https://www.gallito.com.uy/casa-3-dormitorios-y-patio-inmuebles-21922158,,
2 Dormitorios en Prado,U$S 55.000,57.0,https://www.gallito.com.uy/oficina-sosa-apto-en-molinos-de-raffo-y-ma-orticochea-inmuebles-19827404,-32.87555,-56.02015
1 Dormitorio en Aires Puros,U$S 56.500,40.0,https://www.gallito.com.uy/oficina-sosa-corneille-y-zubiria-ideal-renta-o-vivienda-inmuebles-22185440,-34.84524,-56.19496
2 Dormitorios en Cerro,U$S 57.000,50.0,https://www.gallito.com.uy/coqueta-casa-en-el-cerro-inmuebles-17520740,-34.87623,-56.26443
3 Dormitorios en Paso De La Arena,U$S 58.000,85.0,https://www.gallito.com.uy/casa-con-terreno-a-1-cuadra-de-tomkinson-inmuebles-20278186,-34.84862,-56.28408
2 Dormitorios en Maroñas,U$S 58.000,51.0,https://www.gallito.com.uy/venta-ph-2-dormitorios-jardin-cochera-parrillero-inmuebles-20765648,-34.83276,-56.14
2 Dormitorios en La Teja,U$S 58.000,110.0,https://www.gallito.com.uy/cesion-de-derechos-inscripta-inmuebles-20380776,-34.86973,-56.2337
2 Dormitorios en Cerro,U$S 60.000,70.0,https://www.gallito.com.uy/patagonia-se-vende-casa-alquilada-por-anda-inmuebles-22257766,-34.87902,-56.26161
2 Dormitorios en Cerrito,U$S 60.000,51.0,https://www.gallito.com.uy/baldovino-cerrito-de-la-victoria-tobas-proxantel-arena-inmuebles-22140247,,
2 Dormitorios en La Teja,U$S 62.000,70.0,https://www.gallito.com.uy/casa-a-reciclar-en-excelente-punto-a-1-de-la-avenida-inmuebles-20812967,-34.85935,-56.2293
2 Dormitorios en Piedras Blancas,U$S 62.000,50.0,https://www.gallito.com.uy/venta-casa-2-dormitorios-galpon-piedras-blancas-inmuebles-21902606,-34.82468,-56.14503
3 Dormitorios en Maroñas,U$S 63.000,67.0,https://www.gallito.com.uy/venta-casa-3-dorm1-baño-y-patio-63000usdcuotas-inmuebles-20146847,-34.85611,-56.12691
3 Dormitorios en Paso De La Arena,U$S 65.000,133.0,https://www.gallito.com.uy/casa-con-cochera-y-fondo-inmuebles-18086957,-34.81948,-56.28579
2 Dormitorios en La Teja,U$S 65.000,40.0,https://www.gallito.com.uy/casita-economica-en-la-teja-excelente-ubicacion-inmuebles-20681210,-34.86112,-56.22828
3 Dormitorios en Lezica,U$S 65.000,63.0,https://www.gallito.com.uy/dueños-venden-duplex-en-complejo-12-de-octubre-inmuebles-21904516,-34.90721,-56.19027
2 Dormitorios en Nuevo Paris,U$S 65.000,80.0,https://www.gallito.com.uy/excelente-casa-sobre-calle-julian-laguna-inmuebles-21709063,,
2 Dormitorios en La Teja,U$S 65.000,158.0,https://www.gallito.com.uy/rebajado-oportunidad-4-casas-en-un-padron-inmuebles-21863494,-34.85433,-56.24368
1 Dormitorio en La Teja,U$S 65.000,94.0,https://www.gallito.com.uy/casa-y-2-apartamentos-inmuebles-20858940,-34.87456,-56.23925
2 Dormitorios en La Teja,U$S 65.000,158.0,https://www.gallito.com.uy/rebajado-oportunidad-4-casas-en-un-padron-inmuebles-21964179,-34.85433,-56.24368
1 Dormitorio en Sayago,U$S 66.000,35.0,https://www.gallito.com.uy/casablanca-ph-al-fondo-independiente-inmuebles-21211561,,
3 Dormitorios en Las Acacias,U$S 67.000,70.0,https://www.gallito.com.uy/bajo-de-precio-padron-unico-inmuebles-17516457,-34.8413,-56.15242
3 Dormitorios en Union,U$S 68.000,110.0,https://www.gallito.com.uy/oportunidad-casa-financiada-3-dorm-en-venta-en-la-union-inmuebles-21944844,-34.863,-56.13259
2 Dormitorios en Cerro,U$S 68.000,81.0,https://www.gallito.com.uy/linda-casa-en-chile-esq-viacaba-inmuebles-21909547,-34.88779,-56.24961
2 Dormitorios en Cerrito,U$S 68.000,51.0,https://www.gallito.com.uy/venta-de-casa-cerrito-2-dormitorios-garaje-y-jardin-inmuebles-20887863,-34.85974,-56.17275
1 Dormitorio en La Comercial,U$S 68.000,60.0,https://www.gallito.com.uy/casa-duplex-1-dormitorio-en-venta-renta-la-comercial-inmuebles-18717055,,
2 Dormitorios en Cerrito,U$S 70.000,55.0,https://www.gallito.com.uy/venta-casa-2-dorm-patio-cochera-inmuebles-22120669,,
2 Dormitorios en Nuevo Paris,U$S 70.000,70.0,https://www.gallito.com.uy/vendo-casa-de-2-dormitorios-en-nuevo-paris-inmuebles-21764110,-34.83968,-56.2514
2 Dormitorios en Paso De La Arena,U$S 70.000,70.0,https://www.gallito.com.uy/tomkinson-500-metros-de-terreno-con-casa-de-2-dormitorios-inmuebles-20583980,-34.85012,-56.28829
3 Dormitorios en Colon,U$S 73.000,114.0,https://www.gallito.com.uy/casa-con-cochera-fondo-y-barbacoa-acepta-banco-inmuebles-21551933,-34.81755,-56.22433
3 Dormitorios en Malvin,U$S 74.000,,https://www.gallito.com.uy/excelente-casa-en-parque-guarani-de-3-dormitorios-con-garage-inmuebles-21820653,-34.85879,-56.11917
3 Dormitorios en Maroñas,U$S 74.000,100.0,https://www.gallito.com.uy/excelente-parque-guarani-garaje-x2-jardin-fondo-parrillero-inmuebles-21928136,,
3 Dormitorios en Paso Molino,U$S 75.000,86.0,https://www.gallito.com.uy/vende-casa-3-dormitorios-paso-molino-inmuebles-20924034,-34.86092,-56.21873
3 Dormitorios en Paso De La Arena,U$S 75.000,79.0,https://www.gallito.com.uy/casa-con-jardin-y-entrada-para-varios-autos-inmuebles-20423819,-34.83583,-56.26887
2 Dormitorios en Ituzaingo,U$S 75.000,50.0,https://www.gallito.com.uy/opotunidad-para-inversores-o-vivienda-propia-para-familia-inmuebles-22044686,-34.85133,-56.1391
2 Dormitorios en La Teja,U$S 77.000,72.0,https://www.gallito.com.uy/casa-padron-unico-dos-dormitorios-reciclada-inmuebles-21447162,-34.86367,-56.21858
1 Dormitorio en Reducto,U$S 77.900,38.0,https://www.gallito.com.uy/venta-casa-ph-al-frente-barrio-reducto-inmuebles-21880629,-34.88225,-56.1836
2 Dormitorios en Sayago,U$S 78.000,,https://www.gallito.com.uy/casa-en-venta-2-dormitorios-sayago-inmuebles-21360529,,
2 Dormitorios en Colon,U$S 78.000,,https://www.gallito.com.uy/casa-en-venta-2-dormitorios-conciliacion-colon-inmuebles-21360512,,
2 Dormitorios en Maroñas,U$S 78.000,50.0,https://www.gallito.com.uy/venta-casa-2-dormitorios-fondo-jardin-ituzaingo-inmuebles-21334314,-34.84839,-56.13385
2 Dormitorios en Peñarol,U$S 78.000,,https://www.gallito.com.uy/casa-en-venta-2-dormitorios-peñarol-inmuebles-21908476,,
