desc,valor,metraje,url
3 Dormitorios en Aires Puros,190000,110.0,https://www.gallito.com.uy/excelente-garaje-2-autos-jaridn-fondo-piscina-parrillero-inmuebles-22201433
3 Dormitorios en Villa Española,38000,150.0,https://www.gallito.com.uy/casa-3-dormitorios-con-patio-usd-38000-mas-saldo-anv-inmuebles-21842818
2 Dormitorios en La Teja,39900,60.0,https://www.gallito.com.uy/economica-con-terreno-cochera-y-galpon-inmuebles-20427489
4 Dormitorios en Cerrito,45000,97.0,https://www.gallito.com.uy/oportunidad-casa-de-4-dormitorios-a-reparar-en-cerrito-inmuebles-17825081
2 Dormitorios en Colon,45000,50.0,https://www.gallito.com.uy/oficina-sosa-proximo-a-av-lezica-casa-en-ph-al-fondo-sobr-inmuebles-20974900
2 Dormitorios en J. Hipodromo,50000,70.0,https://www.gallito.com.uy/casa-en-venta-jardines-del-hipodromo-lars-inmuebles-21036475
2 Dormitorios en Union,50000,50.0,https://www.gallito.com.uy/gran-oportunidad-vende-casita-al-frente-inmuebles-21115138
1 Dormitorio en Cerrito,53000,33.0,https://www.gallito.com.uy/baldovino-cerrito-tobas-proximo-antel-arena-inmuebles-22011006
1 Dormitorio en Perez Castellanos,53000,33.0,https://www.gallito.com.uy/perez-castellanos-tobas-proximo-al-antel-arena-inmuebles-22011059
1 Dormitorio en Aires Puros,56500,40.0,https://www.gallito.com.uy/oficina-sosa-corneille-y-zubiria-ideal-renta-o-vivienda-inmuebles-22185440
2 Dormitorios en Cerro,57000,50.0,https://www.gallito.com.uy/coqueta-casa-en-el-cerro-inmuebles-17520740
2 Dormitorios en Maroñas,58000,51.0,https://www.gallito.com.uy/venta-ph-2-dormitorios-jardin-cochera-parrillero-inmuebles-20765648
2 Dormitorios en La Teja,58000,110.0,https://www.gallito.com.uy/cesion-de-derechos-inscripta-inmuebles-20380776
3 Dormitorios en Paso De La Arena,58000,85.0,https://www.gallito.com.uy/casa-con-terreno-a-1-cuadra-de-tomkinson-inmuebles-20278186
2 Dormitorios en Cerro,60000,70.0,https://www.gallito.com.uy/patagonia-se-vende-casa-alquilada-por-anda-inmuebles-22257766
2 Dormitorios en Cerrito,60000,51.0,https://www.gallito.com.uy/baldovino-cerrito-de-la-victoria-tobas-proxantel-arena-inmuebles-22140247
2 Dormitorios en Nuevo Paris,61000,80.0,https://www.gallito.com.uy/excelente-casa-sobre-calle-julian-laguna-inmuebles-21709063
2 Dormitorios en La Teja,62000,70.0,https://www.gallito.com.uy/casa-a-reciclar-en-excelente-punto-a-1-de-la-avenida-inmuebles-20812967
2 Dormitorios en Piedras Blancas,62000,50.0,https://www.gallito.com.uy/venta-casa-2-dormitorios-galpon-piedras-blancas-inmuebles-21902606
1 Dormitorio en La Teja,65000,94.0,https://www.gallito.com.uy/casa-y-2-apartamentos-inmuebles-20858940
2 Dormitorios en Belvedere,65000,60.0,https://www.gallito.com.uy/ideal-para-invertir-casa-en-belvedere-2dorm-parrillero-patio-inmuebles-22265055
2 Dormitorios en La Teja,65000,158.0,https://www.gallito.com.uy/rebajado-oportunidad-4-casas-en-un-padron-inmuebles-21863494
3 Dormitorios en Lezica,65000,63.0,https://www.gallito.com.uy/dueños-venden-duplex-en-complejo-12-de-octubre-inmuebles-21904516
3 Dormitorios en Paso De La Arena,65000,133.0,https://www.gallito.com.uy/casa-con-cochera-y-fondo-inmuebles-18086957
2 Dormitorios en La Teja,65000,158.0,https://www.gallito.com.uy/rebajado-oportunidad-4-casas-en-un-padron-inmuebles-21964179
2 Dormitorios en La Teja,65000,40.0,https://www.gallito.com.uy/casita-economica-en-la-teja-excelente-ubicacion-inmuebles-20681210
1 Dormitorio en Sayago,66000,35.0,https://www.gallito.com.uy/casablanca-ph-al-fondo-independiente-inmuebles-21211561
3 Dormitorios en Las Acacias,67000,70.0,https://www.gallito.com.uy/bajo-de-precio-padron-unico-inmuebles-17516457
2 Dormitorios en Cerrito,68000,51.0,https://www.gallito.com.uy/venta-de-casa-cerrito-2-dormitorios-garaje-y-jardin-inmuebles-20887863
1 Dormitorio en La Comercial,68000,60.0,https://www.gallito.com.uy/casa-duplex-1-dormitorio-en-venta-renta-la-comercial-inmuebles-18717055
3 Dormitorios en Union,68000,110.0,https://www.gallito.com.uy/oportunidad-casa-financiada-3-dorm-en-venta-en-la-union-inmuebles-21944844
