cod_barrio_ine,valor,metraje,lat,lng,valor_metro
1,249000.0,350.0,-34.90721,-56.20633,856.9341643942346
2,220000.0,200.0,-34.90591,-56.18718,1195.0
3,170000.0,124.0,-34.90982,-56.19027,1382.1138211382113
4,199500.0,137.5,-34.90225,-56.17529,1425.925925925926
5,228000.0,144.0,-34.910145,-56.18197,1491.3124832932372
6,275000.0,170.0,-34.90901,-56.16765,1690.4761904761904
7,495000.0,230.0,-34.91951,-56.1588,2444.4444444444443
8,368000.0,177.0,-34.90772,-56.152095,2267.4418604651164
9,242500.0,120.0,-34.89384,-56.13274,1993.3333333333335
10,259000.0,145.5,-34.896010000000004,-56.14902,1902.3809523809523
11,315000.0,150.0,-34.89098,-56.10618,2064.0040962621606
12,150000.0,120.0,-34.87988,-56.11135,1225.0
13,480000.0,210.0,-34.89287,-56.08152,2185.714285714286
14,640000.0,270.0,-34.88254,-56.06036,2357.1428571428573
15,310000.0,137.0,-34.87335,-56.06714,2075.0
16,310000.0,120.0,-34.87432,-56.02871,2583.3333333333335
17,107500.0,101.0,-34.85503,-56.13059,995.0
18,810000.0,244.0,-34.921724999999995,-56.16242,2587.3015873015875
20,86500.0,80.0,-34.82547,-56.09946,956.6666666666667
21,65000.0,80.0,-34.83792,-56.13403,1000.0
22,99000.0,77.0,-34.844115,-56.14703,1151.5633280339162
23,125000.0,101.5,-34.874905,-56.137115,1232.5721153846152
24,102000.0,84.5,-34.864644999999996,-56.145395,1115.218063717909
25,130000.0,110.0,-34.84144,-56.23979,1033.0578512396694
26,119750.0,95.0,-34.855125,-56.15578,1115.038115038115
27,102450.0,90.0,-34.85293,-56.16839,1161.1652236652237
28,85000.0,125.0,-34.841655,-56.155609999999996,891.7582417582418
29,119000.0,108.0,-34.85203,-56.18791,1163.6363636363637
30,99000.0,300.0,-34.90721,-56.19027,330.0
31,77000.0,111.0,-34.828345,-56.1447,962.5
34,98000.0,98.5,-34.82492,-56.20147,1026.3157894736842
35,97500.0,104.5,-34.880915,-56.253865000000005,953.3333333333333
38,99750.0,96.0,-34.86343,-56.23339,1016.6666666666666
39,279000.0,173.5,-34.86344,-56.20294,1600.0
40,139500.0,100.0,-34.86993,-56.21376,1291.7417417417419
41,150000.0,150.0,-34.88743,-56.18768,1089.732142857143
42,135000.0,101.0,-34.87529,-56.189405,1349.846625766871
43,220000.0,124.0,-34.86389,-56.190200000000004,1625.0
44,185000.0,108.0,-34.87474,-56.17096,1666.6666666666667
45,155000.0,127.0,-34.87865,-56.17619,1220.4724409448818
46,195000.0,80.0,-34.875965,-56.165594999999996,1651.9823788546255
47,198500.0,117.5,-34.88136,-56.15765,1792.059748427673
48,135000.0,119.0,-34.888400000000004,-56.17941999999999,1182.7956989247311
49,150000.0,108.0,-34.88792,-56.175664999999995,1333.3333333333333
50,210000.0,147.0,-34.892175,-56.168225,1410.2564102564102
51,172500.0,110.0,-34.865015,-56.1794,1497.191011235955
52,138000.0,119.5,-34.83285,-56.21353,1296.5182648401828
54,125000.0,120.0,-34.851389999999995,-56.225455,1094.8275862068965
55,160000.0,210.0,-34.86893,-56.33087,761.9047619047619
57,102000.0,120.0,-34.833875,-56.283405,1000.0
58,120000.0,120.0,-34.805445,-56.221565,996.2406015037594
59,78000.0,123.0,-34.799495,-56.081500000000005,583.3333333333334
60,137500.0,105.0,-34.80013,-56.24857,1093.3622828784119
62,99000.0,97.5,-34.80543,-56.144165,968.7234042553191
