barrio,,,,,,
Aguada,Aguada,41,,,,
Aires Puros,Aires Puros,29,,,,
Arroyo Seco,,,,,,
Atahualpa,Atahualpa,43,,,,
B. De Carrasco,Bañados de Carrasco,16,,,,
Barra Santa Lucia,,,,,,
Barrio Sur,Barrio Sur,3,,,,
Bella Vista,,,,,,
Belvedere,Belvedere,54,,,,
Bolivar,,,,,,
Brazo Oriental,Brazo Oriental,51,,,,
Buceo,Buceo,9,,,,
Capurro,"Capurro, Bella Vista",40,,,,
Carrasco,Carrasco,14,,,,
Carrasco Norte,Carrasco Norte,15,,,"Castro, P. Castellanos",26
Casabo,"Casabó, Pajas Blancas",36,,,Conciliación,53
Casavalle,Casavalle,30,,,"La Paloma, Tomkinson",37
Centro,Centro,2,,,Larrañaga,46
Cerrito,Cerrito,27,,,Las Canteras,19
Cerro,Cerro,35,,,"Lezica, Melilla",60
Ciudad Vieja,Ciudad Vieja,1,,,"Villa García, Manga Rural",61
Cno. Carrasco,,,,,,
Cno. Maldonado,Colón Centro y Noroeste,59,,,,
Colon,"Colón Sureste, Abayubá",58,,,,
Cordon,Cordón,4,,,,
Goes,,,,,,
Golf,Flor de Maroñas,18,,,,
Ituzaingo,Ituzaingó,22,,,,
J. Hipodromo,Jardines del Hipódromo,21,,,,
Jacinto Vera,Jacinto Vera,44,,,,
La Blanqueada,La Blanqueada,47,,,,
La Comercial,La Comercial,49,,,,
La Figurita,La Figurita,45,,,,
La Teja,La Teja,38,,,,
Larrañaga,,,,,,
Las Acacias,Las Acacias,28,,,,
Lezica,,,,,,
Malvin,Malvín,11,,,,
Malvin Norte,Malvín Norte,12,,,,
Manga,,,,,,
Maroñas,,,,,,
Maroñas Curva,Manga,62,,,,
Melilla,"Manga, Toledo Chico",32,,,,
Nuevo Centro,"Maroñas, Parque Guaraní",17,,,,
Nuevo Paris,"Mercado Modelo, Bolívar",25,,,,
Pajas Blancas,Nuevo París,55,,,,
Palermo,Palermo,5,,,,
Parque Batlle,"Parque Batlle, Villa Dolores",10,,,,
Parque Miramar,Parque Rodó,6,,,,
Parque Rodo,Paso de la Arena,57,,,,
Paso Carrasco,Paso de las Duranas,33,,,,
Paso De La Arena,"Peñarol, Lavalleja",34,,,,
Paso Molino,Piedras Blancas,31,,,,
Peñarol,Pocitos,8,,,,
Perez Castellanos,"Prado, Nueva Savona",39,,,,
Piedras Blancas,Punta Carretas,7,,,,
Pocitos,Punta Gorda,13,,,,
Pocitos Nuevo,"Punta Rieles, Bella Italia",20,,,,
Prado,Reducto,42,,,,
Prado Norte,Sayago,52,,,,
Puerto Buceo,Tres Cruces,50,,,,
Punta Carretas,"Tres Ombúes, Victoria",56,,,,
Punta Gorda,Unión,23,,,,
Punta Rieles,,,,,,
Reducto,,,,,,
Sayago,,,,,,
Tres Cruces,,,,,,
Union,,,,,,
Villa Biarritz,,,,,,
Villa Dolores,,,,,,
Villa Española,Villa Española,24,,,,
Villa Muñoz,"Villa Muñoz, Retiro",48,,,,
