cod_barrio_ine,valor,metraje,lat,lng,valor_metro
1,304000.0,205.0,-34.90522,-56.20575,1495.0
2,245000.0,233.0,-34.90587,-56.192130000000006,803.3573141486811
4,280000.0,195.0,-34.904465,-56.178105,1415.4589371980676
5,225000.0,145.0,-34.90948,-56.1809,1526.3559969442322
6,245000.0,164.0,-34.91184,-56.170945,1493.9024390243903
7,690000.0,280.0,-34.92310500000001,-56.15947,2567.5675675675675
8,358000.0,137.0,-34.908485,-56.14689,2306.501547987616
9,240000.0,99.0,-34.89274,-56.13038,1878.9808917197452
10,245000.0,110.0,-34.898165,-56.155564999999996,2058.333333333333
11,295000.0,155.5,-34.889005,-56.103714999999994,1883.9285714285716
12,470000.0,400.0,-34.87179,-56.11805,1021.7391304347826
13,474500.0,186.5,-34.89558,-56.0817,2639.583333333333
14,680000.0,337.0,-34.88452,-56.06049,2772.6432532347503
15,360000.0,163.0,-34.87269,-56.07428,2833.3333333333335
17,94000.0,87.0,-34.851925,-56.127785,924.4444444444445
20,45000.0,600.0,-34.83066,-56.07376,75.0
21,50000.0,70.0,-34.83717,-56.15027,714.2857142857143
22,86000.0,55.0,,,1563.6363636363637
23,140000.0,100.0,-34.87718,-56.13934,1278.5714285714284
24,97500.0,88.5,-34.864234999999994,-56.151545,1275.7619738751814
25,110000.0,100.0,-34.84047,-56.23532,833.3333333333334
26,85000.0,66.0,-34.85634,-56.15659,1606.060606060606
27,64000.0,60.0,-34.84887,-56.15642,1137.015781922525
28,57500.0,115.0,-34.8413,-56.15242,628.5714285714286
29,130000.0,106.0,-34.85069,-56.18503,1311.111111111111
31,85000.0,112.0,-34.82027,-56.14407,758.9285714285714
34,130000.0,135.0,-34.82596,-56.20297,962.9629629629629
35,68000.0,81.0,-34.881879999999995,-56.25711,916.6666666666666
36,49000.0,53.0,-34.88703,-56.27425,924.5283018867924
38,63500.0,82.0,-34.861284999999995,-56.237865,714.9754500818331
39,298000.0,190.0,-34.86327,-56.20274,1552.6315789473683
40,130000.0,107.0,-34.86967,-56.21419,1208.7912087912089
41,140000.0,148.5,-34.88523,-56.18571,1440.0244798041617
42,150000.0,84.0,-34.876455,-56.191069999999996,1220.5882352941176
43,205000.0,142.0,-34.86938,-56.188195,1553.1674208144796
44,150000.0,100.0,-34.87454,-56.16998,1458.3333333333333
47,290000.0,194.0,-34.87646,-56.15995,1395.4545454545455
48,130000.0,63.0,-34.88922,-56.1781,1460.6741573033707
49,130000.0,111.0,-34.88618,-56.17453,1133.3333333333333
50,245000.0,150.0,-34.89514,-56.166875,1353.8461538461538
51,175000.0,110.0,-34.86587,-56.17678,1590.909090909091
52,151000.0,90.0,-34.83625,-56.212815000000006,1325.301204819277
54,85000.0,78.0,-34.852165,-56.221955,1214.2857142857142
57,67500.0,82.5,-34.84862,-56.28579,653.6764705882354
58,79000.0,97.5,-34.811840000000004,-56.22474,771.4285714285714
60,110000.0,73.0,-34.797560000000004,-56.247695,1031.7460317460318
62,50000.0,51.0,-34.80205,-56.137205,1011.9047619047619
