desc,valor,metraje,url
1 Dormitorio en Malvin Norte,39000,,https://www.gallito.com.uy/venta-de-casa-de-1-dormitorio-en-malvin-norte-inmuebles-27324995
2 Dormitorios en Cerrito,44000,,https://www.gallito.com.uy/para-reciclar-completamente-ph-al-frente-se-escucha-oferta-inmuebles-27342466
2 Dormitorios en Belvedere,59000,,https://www.gallito.com.uy/a-reciclar-ideal-vivienda-o-para-renta-atanasildo-suarez-inmuebles-25759511
4 Dormitorios en Piedras Blancas,59000,,https://www.gallito.com.uy/casa-cuatro-dormitorios-jardin-entrada-vehicular-inmuebles-27595802
1 Dormitorio en Aires Puros,61000,40.0,https://www.gallito.com.uy/muy-linda-casa-ph-al-frente-jardin-y-patio-inmuebles-27037615
2 Dormitorios en Cerro,63000,53.0,https://www.gallito.com.uy/bonita-soleada-gran-fondo-acepta-banco-inmuebles-27469209
1 Dormitorio en Otro,65000,45.0,https://www.gallito.com.uy/casa-en-venta-de-un-dormitorio-en-flor-de-maroñas-inmuebles-27474304
2 Dormitorios en Manga,70000,50.0,https://www.gallito.com.uy/excelente-ubicacion-dos-dormitorios-lugar-para-vehiculo-inmuebles-27469124
3 Dormitorios en Paso Molino,70000,,https://www.gallito.com.uy/oficina-sosa-atanasildo-suarez-y-emancipacion-casa-y-galp-inmuebles-25295290
3 Dormitorios en Colon,73000,,https://www.gallito.com.uy/oficina-sosa-alquilada-casa-amplia-en-peã±arol-inmuebles-25968135
4 Dormitorios en Nuevo Paris,73000,100.0,https://www.gallito.com.uy/casa-en-venta-local-en-nuevo-paris-inmuebles-27325291
4 Dormitorios en Maroñas,74000,125.0,https://www.gallito.com.uy/casa-venta-4-dormitorios-cochera-maroñas-montevideo-g-inmuebles-27134741
4 Dormitorios en Otro,74000,125.0,https://www.gallito.com.uy/casa-venta-4-dormitorios-cochera-villa-española-montevide-inmuebles-27134743
4 Dormitorios en Union,74000,125.0,https://www.gallito.com.uy/casa-venta-4-dormitorios-cochera-union-montevideo-g-inmuebles-27134742
4 Dormitorios en Villa Española,74000,125.0,https://www.gallito.com.uy/casa-venta-villa-española-cochera-montevideo-g-inmuebles-27134744
2 Dormitorios en Manga,75000,,https://www.gallito.com.uy/propiedad-en-planta-alta-sobre-la-perimetral-inmuebles-25895351
2 Dormitorios en J. Hipodromo,75000,75.0,https://www.gallito.com.uy/chalet-en-padron-unico-inmuebles-26907176
2 Dormitorios en Maroñas,75000,59.0,https://www.gallito.com.uy/lea-atentamente-la-publicacion-usd-75000-y-cuotas-inmuebles-27296590
1 Dormitorio en Ciudad Vieja,75000,47.0,https://www.gallito.com.uy/casa-venta-ciudad-vieja-montevideo-imasuy-s-inmuebles-27398986
2 Dormitorios en Villa Española,75000,,https://www.gallito.com.uy/sobre-yucatan-casa-en-padrã³n-ãnico-excelente-inmuebles-27266256
3 Dormitorios en Peñarol,77000,106.0,https://www.gallito.com.uy/casa-en-venta-de-3-dormitorios-en-peñarol-con-patio-inmuebles-26125397
3 Dormitorios en La Comercial,78500,61.0,https://www.gallito.com.uy/casa-de-2-plantas-en-venta-en-la-comercial-inmuebles-26790958
3 Dormitorios en Cerro,79000,,https://www.gallito.com.uy/viacaba-y-grecia-casa-con-gran-potencial-inmuebles-25884556
3 Dormitorios en Union,80000,,https://www.gallito.com.uy/casa-en-venta-3-dormitorios-union-inmuebles-26042096
2 Dormitorios en Union,84000,66.0,https://www.gallito.com.uy/casa-en-venta-barrio-union-2-dormitorios-y-garge-inmuebles-26874604
3 Dormitorios en Maroñas,85000,,https://www.gallito.com.uy/imperal-vendecasa-3-dorm-cochera-y-apto-1-dormitorio-inmuebles-26989428
4 Dormitorios en Aires Puros,85000,74.0,https://www.gallito.com.uy/inversores-venta-2-casas-mismo-padron-cochera-inmuebles-26298190
1 Dormitorio en Union,85000,44.0,https://www.gallito.com.uy/venta-casa-1-dormitorio-jardin-y-demas-inmuebles-27462943
2 Dormitorios en Las Acacias,85000,,https://www.gallito.com.uy/imperial-vende-casa2-dorm-cochera-fdo-y-apto-monoambiente-inmuebles-27246270
2 Dormitorios en Reducto,85000,67.0,https://www.gallito.com.uy/casa-en-venta-de-2-dormitorios-en-reducto-inmuebles-27383335
2 Dormitorios en Atahualpa,86000,57.0,https://www.gallito.com.uy/casa-venta-atahualpa-montevideo-imasuy-r-inmuebles-27363650
Más de 4 dormitorios en La Comercial,89000,,https://www.gallito.com.uy/venta-de-casa-6-dormitorios-en-la-comercial-montevideo-inmuebles-27363460
Más de 4 dormitorios en Tres Cruces,89000,,https://www.gallito.com.uy/venta-de-casa-6-dormitorios-en-tres-cruces-montevideo-l-inmuebles-27363461
Más de 4 dormitorios en Cordon,89000,,https://www.gallito.com.uy/venta-de-casa-6-dormitorios-en-cordon-montevideo-l-inmuebles-27398925
3 Dormitorios en Paso Molino,90000,100.0,https://www.gallito.com.uy/preciclar-en-dos-niveles-terraza-patio-y-parrillero-inmuebles-27342517
1 Dormitorio en La Teja,93000,,https://www.gallito.com.uy/casa-en-venta-en-la-teja-inmuebles-27599259
2 Dormitorios en Piedras Blancas,93000,,https://www.gallito.com.uy/casa-en-esquina-ampliojardin-parrillero-a-100m-belloni-inmuebles-26144478
1 Dormitorio en La Comercial,93000,,https://www.gallito.com.uy/casa-esquina-domingo-aramburu-y-marti­n-c-marti­nez-inmuebles-26032834
2 Dormitorios en Aguada,95000,62.0,https://www.gallito.com.uy/casa-en-venta-de-2-dormitorios-en-aguada-inmuebles-27510656
2 Dormitorios en Arroyo Seco,95000,71.0,https://www.gallito.com.uy/casa-en-padron-unico-tres-dormitorios-y-azotea-inmuebles-23717360
1 Dormitorio en Buceo,95000,,https://www.gallito.com.uy/casa-en-venta-1-dormitorio-con-acceso-a-la-azota-inmuebles-27347926
2 Dormitorios en Villa Española,98000,,https://www.gallito.com.uy/casa-en-planta-baja-prã³x-a-corrales-y-varela-inmuebles-27484352
4 Dormitorios en Colon,98000,,https://www.gallito.com.uy/casa-ubicado-en-las-mejores-zona-de-colon-inmuebles-26204219
2 Dormitorios en Atahualpa,98000,,https://www.gallito.com.uy/casa-en-venta-2-dormitorios-y-patio-en-atahualpa-inmuebles-26297646
2 Dormitorios en Reducto,98500,,https://www.gallito.com.uy/casa-sobre-garcia-peña-y-vilardebo-inmuebles-26443126
2 Dormitorios en Jacinto Vera,100000,70.0,https://www.gallito.com.uy/venta-casa-esquina-proxbrartigas-y-san-martin-inmuebles-24263326
2 Dormitorios en La Comercial,100000,48.0,https://www.gallito.com.uy/propiedad-horizontal-tipo-casita-independiente-sin-gcomun-inmuebles-26302309
2 Dormitorios en Prado,100000,46.0,https://www.gallito.com.uy/en-pb-a-metros-de-castro-y-maua-inmuebles-21293965
2 Dormitorios en Centro,100000,113.0,https://www.gallito.com.uy/padron-unico-a-reciclar-gaboto-1656-inmuebles-25611271
3 Dormitorios en Malvin Norte,100000,120.0,https://www.gallito.com.uy/linda-casa-en-cooperativa-de-viviendas-inmuebles-27540357
1 Dormitorio en Prado,105000,,https://www.gallito.com.uy/lista-para-entrar-millãn-y-pedro-primero-inmuebles-26881630
1 Dormitorio en Prado,105000,65.0,https://www.gallito.com.uy/lista-para-mudarse-millan-y-pedro-primero-inmuebles-24384590
3 Dormitorios en La Teja,109000,143.0,https://www.gallito.com.uy/casa-en-venta-de-tres-dormitorios-apartamento-en-la-teja-inmuebles-27325191
2 Dormitorios en Malvin Norte,109000,46.0,https://www.gallito.com.uy/venta-con-renta-de-casa-de-2-dormitorios-en-malvin-norte-inmuebles-27473824
2 Dormitorios en Parque Batlle,110000,55.0,https://www.gallito.com.uy/oportunidad-casa-2-dormitorios-con-patio-inmuebles-27267169
2 Dormitorios en Villa Muñoz,110000,56.0,https://www.gallito.com.uy/casa-al-frente-orientacion-norte-sol-todo-el-dia-inmuebles-24457090
2 Dormitorios en Tres Cruces,110000,56.0,https://www.gallito.com.uy/casa-de-altos-orientacion-norte-todo-el-sol-inmuebles-24460716
2 Dormitorios en La Comercial,110000,41.0,https://www.gallito.com.uy/casa-en-venta-de-2-dormitorios-en-la-comercial-inmuebles-27370280
3 Dormitorios en Aguada,115000,108.0,https://www.gallito.com.uy/casa-en-venta-de-3-dormitorios-en-aguada-inmuebles-27107787
2 Dormitorios en Piedras Blancas,115000,200.0,https://www.gallito.com.uy/padron-grande-con-casa-y-dos-aptos-a-reciclar-se-escucha-of-inmuebles-27342481
2 Dormitorios en Colon,115000,100.0,https://www.gallito.com.uy/a-una-cuadra-de-av-garzon-y-a-una-de-av-lezica-inmuebles-26288508
Más de 4 dormitorios en Bella Vista,115000,,https://www.gallito.com.uy/oficina-sosa-hervidero-y-gral-farias-proximo-a-agraciada-inmuebles-25861258
3 Dormitorios en Union,116000,,https://www.gallito.com.uy/casa-chalet-en-venta-uniã³n-inmuebles-27379040
3 Dormitorios en Bella Vista,118000,100.0,https://www.gallito.com.uy/amplia-casa-sin-gastos-comunes-inmuebles-27378719
1 Dormitorio en Tres Cruces,118000,75.0,https://www.gallito.com.uy/venta-casa-en-tres-cruces-de-un-dormitorio-inmuebles-27317439
3 Dormitorios en Cordon,119000,102.0,https://www.gallito.com.uy/casa-para-reciclar-80-m2-terreno-102-const-padron-unico-inmuebles-22179188
Más de 4 dormitorios en Cordon,119000,,https://www.gallito.com.uy/casa-venta-cordon-montevideo-imasuy-lc-inmuebles-27398102
2 Dormitorios en Tres Cruces,119000,62.0,https://www.gallito.com.uy/venta-casa-2-dorm-amplia-al-frente-tres-cruces-inmuebles-25644253
3 Dormitorios en Sayago,125000,81.0,https://www.gallito.com.uy/casa-en-venta-de-tres-dormitorios-en-sayago-inmuebles-27325217
2 Dormitorios en Reducto,126000,,https://www.gallito.com.uy/oficina-sosa-vilardebã³-y-millãn-casa-en-y-al-inmuebles-27479543
3 Dormitorios en Sayago,129000,268.0,https://www.gallito.com.uy/imperdible-ya-inmuebles-27195451
3 Dormitorios en Cordon,130000,120.0,https://www.gallito.com.uy/casa-en-venta-inmuebles-27305821
2 Dormitorios en Prado,130000,80.0,https://www.gallito.com.uy/venta-casa-2-dormitorios-frente-a-prado-inmuebles-26911660
3 Dormitorios en Malvin Norte,130000,60.0,https://www.gallito.com.uy/excelente-padron-unico-con-gge-jardin-y-fondo-inmuebles-27241202
3 Dormitorios en Aguada,130000,109.0,https://www.gallito.com.uy/casa-venta-aguada-montevideo-imasuy-r-inmuebles-27363657
1 Dormitorio en Pocitos Nuevo,130000,45.0,https://www.gallito.com.uy/vacia-1-dormitorio-cochera-jardin-azotea-inmuebles-27128695
1 Dormitorio en Buceo,130000,45.0,https://www.gallito.com.uy/vacia-1-dormitorio-cochera-jardin-azotea-inmuebles-27224782
2 Dormitorios en Union,130000,88.0,https://www.gallito.com.uy/casa-venta-2-dormitorios-union-montevideo-imasuy-as-inmuebles-27294088
2 Dormitorios en Prado,132000,60.0,https://www.gallito.com.uy/venta-casa-dos-dormitorios-prado-inmuebles-27352620
3 Dormitorios en Sayago,133000,,https://www.gallito.com.uy/excelente-duplex-inmuebles-27420290
2 Dormitorios en Jacinto Vera,135000,,https://www.gallito.com.uy/casa-2-dormitorios-en-venta-zona-jacinto-vera-inmuebles-25889426
2 Dormitorios en Atahualpa,135000,104.0,https://www.gallito.com.uy/casa-de-altos-en-muy-buen-estado-y-se-necesita-vender-ya-inmuebles-26082210
2 Dormitorios en Palermo,135000,150.0,https://www.gallito.com.uy/padron-unico-en-gonzalo-ramirez-en-pleno-palermo-a-reciclar-inmuebles-27565232
3 Dormitorios en Pocitos,137000,93.0,https://www.gallito.com.uy/venta-casa-de-3-dormitorios-en-pocitos-inmuebles-27297480
3 Dormitorios en Ciudad Vieja,139000,89.0,https://www.gallito.com.uy/casa-venta-ciudad-vieja-montevideo-imasuy-s-inmuebles-27363836
Más de 4 dormitorios en Carrasco Norte,140000,150.0,https://www.gallito.com.uy/venta-de-3-casas-en-un-mismo-padron-en-carrasco-norte-inmuebles-26452783
3 Dormitorios en Brazo Oriental,140000,,https://www.gallito.com.uy/imperialvende-casa-tres-dorms-cochera-y-tzacon-parrillero-inmuebles-25169859
3 Dormitorios en Villa Española,145000,,https://www.gallito.com.uy/casa-venta-villa-española-montevideo-imasuy-rc-inmuebles-27175168
2 Dormitorios en La Blanqueada,145000,48.0,https://www.gallito.com.uy/baldovino-venta-casa-la-blanqueada-catala-y-chiavari-inmuebles-26724754
3 Dormitorios en Colon,145000,,https://www.gallito.com.uy/casa-amplio-jdin-pleno-centro-colon-inmuebles-26463784
3 Dormitorios en Jacinto Vera,147000,80.0,https://www.gallito.com.uy/no-gastos-comunes-gge-80m2-patio-estufa-leña-inmuebles-26836776
3 Dormitorios en Goes,148000,99.0,https://www.gallito.com.uy/casa-alquilada-en-padron-unico-a-1-de-gral-flores-inmuebles-22717476
4 Dormitorios en Colon,148000,120.0,https://www.gallito.com.uy/casa-y-apto-al-frente-ambos-con-cocheras-y-muy-bien-ubicados-inmuebles-27033172
3 Dormitorios en Perez Castellanos,149000,105.0,https://www.gallito.com.uy/dueño-vende-espectacular-casa-zona-antel-arenas-acepto-banco-inmuebles-27296982
3 Dormitorios en Parque Batlle,149000,95.0,https://www.gallito.com.uy/casa-en-venta-3-dorm-parque-batlle-inmuebles-23665936
3 Dormitorios en Goes,149000,92.0,https://www.gallito.com.uy/venta-casa-de-3-dormitorios-y-2-baños-con-parrillero-goes-inmuebles-27331878
4 Dormitorios en Union,150000,130.0,https://www.gallito.com.uy/excelente-oportunidad-inmuebles-27352075
2 Dormitorios en Sayago,150000,97.0,https://www.gallito.com.uy/hermosa-casa-en-sayago-cochera-jardin-y-gran-fondo-inmuebles-27489443
2 Dormitorios en Pajas Blancas,150000,,https://www.gallito.com.uy/casa-2-dorm-2-baños-jardin-garage-parrillero-inmuebles-27599537
4 Dormitorios en Peñarol,155000,150.0,https://www.gallito.com.uy/ideal-p-inversion-p-renta-cuatro-unidades-en-un-padron-inmuebles-26266256
3 Dormitorios en Union,155000,170.0,https://www.gallito.com.uy/dos-casas-y-taller-en-un-padron-morelli-y-batlle-y-ordoñez-inmuebles-27565217
3 Dormitorios en Goes,155000,,https://www.gallito.com.uy/casa-en-venta-goes-inmuebles-27379041
3 Dormitorios en Jacinto Vera,155000,,https://www.gallito.com.uy/casa-sobre-garibaldi-esquina-cufrã©-inmuebles-26072991
3 Dormitorios en Brazo Oriental,155000,103.0,https://www.gallito.com.uy/venta-casa-brazo-oriental-padron-unico-3-dormitorios-par-inmuebles-27266583
2 Dormitorios en Parque Rodo,157000,60.0,https://www.gallito.com.uy/venta-casa-de-2-dormitorios-en-parque-rodo-patio-con-parril-inmuebles-27441631
3 Dormitorios en Aires Puros,158000,,https://www.gallito.com.uy/excelente-casa-3-dormitorios-amplio-terreno-crenta-inmuebles-24510327
Más de 4 dormitorios en Parque Rodo,160000,157.0,https://www.gallito.com.uy/charrua-y-ac-diaz-amplisima-casa-antigua-a-reciclar-inmuebles-26790445
1 Ambiente en Goes,160000,135.0,https://www.gallito.com.uy/casa-a-la-venta-en-la-comercial-de-cuatro-dormitorios-inmuebles-27037369
2 Dormitorios en La Blanqueada,160000,131.0,https://www.gallito.com.uy/venta-casa-2-dormitorios-la-blanqueada-mercado-modelo-inmuebles-27573497
Más de 4 dormitorios en Reducto,160000,225.0,https://www.gallito.com.uy/oportunidad-casa-y-apto-en-excelente-ubicacion-inmuebles-27410249
4 Dormitorios en Maroñas,160000,166.0,https://www.gallito.com.uy/hermosa-casa-gran-terreno-cochera-fondo-4-dorm-1-baño-inmuebles-27378704
4 Dormitorios en Peñarol,165000,100.0,https://www.gallito.com.uy/casa-de-4-dormitorio-terreno-de-3500-metros-en-peñarol-inmuebles-27351992
4 Dormitorios en Atahualpa,165000,,https://www.gallito.com.uy/imperial-vendecasa-planta-alta-4-dormitorios-dos-baños-inmuebles-27239825
3 Dormitorios en Jacinto Vera,168000,,https://www.gallito.com.uy/casa-sobre-lorenzo-fernandez-y-pedernal-padrã³n-inmuebles-26924416
3 Dormitorios en La Blanqueada,169000,101.0,https://www.gallito.com.uy/amplia-casa-de-3-dormitorios-con-patio-y-garaje-inmuebles-27378242
3 Dormitorios en Maroñas Curva,169000,133.0,https://www.gallito.com.uy/casa-en-venta-tres-dormitorios-dos-baños-padron-unico-inmuebles-27272891
4 Dormitorios en Aguada,169000,,https://www.gallito.com.uy/casa-de-4-dormitorios-con-garaje-y-patio-sobre-inmuebles-26096211
3 Dormitorios en Jacinto Vera,169000,100.0,https://www.gallito.com.uy/venta-casa-3-dormitorios-con-parrillero-jacinto-vera-inmuebles-27042631
2 Dormitorios en Buceo,169000,90.0,https://www.gallito.com.uy/venta-casa-antigua-buceo-a-reciclar-sobre-avenida-inmuebles-27569249
2 Dormitorios en Buceo,170000,65.0,https://www.gallito.com.uy/vivi-a-mts-de-la-rambla-del-puertito-inmuebles-24745086
3 Dormitorios en Piedras Blancas,170000,120.0,https://www.gallito.com.uy/extraordinaria-casa-2-aptos-a-30-mts-de-jbelloni-inmuebles-27067885
3 Dormitorios en Perez Castellanos,170000,130.0,https://www.gallito.com.uy/casa-al-frente-cjardin-y-amplio-patio-con-parrillero-gge-inmuebles-25772386
4 Dormitorios en Ciudad Vieja,170000,124.0,https://www.gallito.com.uy/venta-casa-4-dormitorios-y-patio-en-la-rambla-ciudad-vieja-inmuebles-27489552
3 Dormitorios en Prado,170000,100.0,https://www.gallito.com.uy/casa-duplex-en-complejo-privado-comodo-y-seguro-inmuebles-27503507
3 Dormitorios en La Blanqueada,175000,,https://www.gallito.com.uy/a-metros-del-nuevocentro-y-a-pasos-de-br-artigas-inmuebles-27377991
3 Dormitorios en Prado,175000,80.0,https://www.gallito.com.uy/excelente-ubicacion-en-el-prado-casa-en-venta-inmuebles-26257242
2 Dormitorios en Brazo Oriental,175000,103.0,https://www.gallito.com.uy/casa-en-venta-de-2-dormitorios-en-brazo-oriental-patio-g-inmuebles-27234734
3 Dormitorios en Prado,175000,80.0,https://www.gallito.com.uy/venta-casa-3-dormitorios-1-baño-en-el-prado-inmuebles-26845260
3 Dormitorios en Maroñas Curva,175000,347.0,https://www.gallito.com.uy/dos-casas-en-el-mismo-padron-en-curva-de-maronas-inmuebles-26193961
3 Dormitorios en Union,178000,160.0,https://www.gallito.com.uy/casa-en-venta-union-3-dormitorios-jardin-120-m2-2-pisos-inmuebles-27447721
2 Dormitorios en Parque Batlle,179000,60.0,https://www.gallito.com.uy/casa-a-estrenar-en-villa-dolores-inmuebles-26923539
2 Dormitorios en La Blanqueada,179000,,https://www.gallito.com.uy/muy-lindo-dãplex-en-chiavari-y-herrera-punto-inmuebles-25868460
4 Dormitorios en Union,179900,,https://www.gallito.com.uy/casa-venta-union-montevideo-imasuy-as-inmuebles-27569216
2 Dormitorios en Larrañaga,180000,90.0,https://www.gallito.com.uy/oportunidad-amplia-casa-2-dorm-patio-cochera-apto-inmuebles-26173211
2 Dormitorios en Cordon,180000,100.0,https://www.gallito.com.uy/casa-moderna-y-calida-con-patio-parrillero-y-estufa-a-leña-inmuebles-27518897
Más de 4 dormitorios en Cerro,180000,362.0,https://www.gallito.com.uy/casas-venta-centro-inmuebles-21355230
4 Dormitorios en Brazo Oriental,180000,,https://www.gallito.com.uy/imperial-vende-inversorescasa-reciclar-4-dorm-600-mtrs-inmuebles-26093100
2 Dormitorios en Buceo,180000,66.0,https://www.gallito.com.uy/a-nuevo-jardin-con-cochera-azotea-con-parrilero-con-mesada-inmuebles-27224454
4 Dormitorios en Capurro,183000,136.0,https://www.gallito.com.uy/venta-casa-4-dormitorios-en-capurro-inmuebles-27293505
4 Dormitorios en La Blanqueada,185000,100.0,https://www.gallito.com.uy/soleada-amplios-espacios-cochera-patio-parillero-si-banco-inmuebles-27561857
2 Dormitorios en Parque Batlle,187000,60.0,https://www.gallito.com.uy/casa-a-estrenar-en-parque-batlle-inmuebles-26923538
3 Dormitorios en Prado,189000,,https://www.gallito.com.uy/toda-en-una-planta-con-hermoso-desahogo-en-el-jardi­n-inmuebles-25940544
4 Dormitorios en Belvedere,189000,200.0,https://www.gallito.com.uy/casa-cuatro-dormitorios-local-en-venta-en-belvedere-inmuebles-27325331
2 Dormitorios en Buceo,190000,65.0,https://www.gallito.com.uy/casa-de-2-dormitorios-en-buceo-jardin-patio-y-cochera-inmuebles-20458115
3 Dormitorios en Paso De La Arena,190000,83.0,https://www.gallito.com.uy/amplia-casa-en-un-entorno-parquisado-cerca-de-la-uam-inmuebles-24422047
2 Dormitorios en Puerto Buceo,190000,65.0,https://www.gallito.com.uy/casa-de-2-dormitorios-en-buceo-jardin-patio-y-cochera-inmuebles-20458095
2 Dormitorios en Brazo Oriental,195000,,https://www.gallito.com.uy/sobre-magested-tres-casas-en-un-mismo-padrã³n-inmuebles-27473187
3 Dormitorios en Prado,196000,80.0,https://www.gallito.com.uy/arcadia-vende-inmuebles-16290296
2 Dormitorios en Villa Dolores,197000,60.0,https://www.gallito.com.uy/casa-a-estrenar-en-villa-dolores-inmuebles-27420384
2 Dormitorios en Bolivar M. Modelo,198000,,https://www.gallito.com.uy/con-renta-2-casas-en-un-padron-inmuebles-27240383
3 Dormitorios en Union,198000,,https://www.gallito.com.uy/casa-en-la-uniã³n-3-dormitorios-garaje-ideal-inmuebles-25772421
2 Dormitorios en Prado,198000,,https://www.gallito.com.uy/oficina-sosa-villagrãn-y-j-suarez-prã³ximo-a-lucas-obes-inmuebles-26670307
Más de 4 dormitorios en Aguada,199000,198.0,https://www.gallito.com.uy/venta-casa-5-dormitorios-aguada-nueva-palmira-y-republica-inmuebles-27162067
4 Dormitorios en Brazo Oriental,199000,,https://www.gallito.com.uy/2-casas-y-un-local-en-fermin-ferreira-esquina-lorenzo-ferna-inmuebles-26169007
Más de 4 dormitorios en Aires Puros,200000,257.0,https://www.gallito.com.uy/oportunidad-excelente-construccion-con-fondo-y-galpon-inmuebles-27410317
3 Dormitorios en La Blanqueada,210000,,https://www.gallito.com.uy/hermosa-casa-en-carrasquito-de-canal-5-juan-y-inmuebles-27117883
Más de 4 dormitorios en Union,210000,284.0,https://www.gallito.com.uy/casa-en-union-inmuebles-25241951
Más de 4 dormitorios en Carrasco Norte,210000,,https://www.gallito.com.uy/terreno-venta-carrasco-norte-montevideo-imasuy-as-inmuebles-27140821
2 Dormitorios en Prado,215000,90.0,https://www.gallito.com.uy/casa-en-venta-de-2-dormitorios-c-cochera-en-prado-padro-inmuebles-25082711
3 Dormitorios en Jacinto Vera,219800,,https://www.gallito.com.uy/muy-buena-propiedad-sã³lida-y-cã³moda-inmuebles-26448005
3 Dormitorios en Aires Puros,220000,141.0,https://www.gallito.com.uy/casa-de-tejas-prox-luis-a-de-herrera-entrada-2-calles-inmuebles-25855128
3 Dormitorios en Buceo,220000,124.0,https://www.gallito.com.uy/pasos-estivao-y-r-anador-3-4-dorm-2-baños-gge-x-3-fdo-inmuebles-24173917
3 Dormitorios en Buceo,220000,111.0,https://www.gallito.com.uy/padron-unico-solida-construccion-con-garage-inmuebles-27008603
2 Dormitorios en Prado,225000,130.0,https://www.gallito.com.uy/una-casa-estilo-campo-en-la-ciudad-inmuebles-27548626
2 Dormitorios en Malvin,225000,,https://www.gallito.com.uy/terreno-12-metros-de-frente-sobre-av-italia-inmuebles-24506913
4 Dormitorios en La Blanqueada,225000,140.0,https://www.gallito.com.uy/casa-en-venta-padron-unico-4-dormitorios-garaje-parriller-inmuebles-25417536
2 Dormitorios en Lezica,230000,380.0,https://www.gallito.com.uy/casa-gje-galpon-de-220-m2-y-terreno-de-1475-m2-inmuebles-27378837
2 Dormitorios en Buceo,230000,,https://www.gallito.com.uy/casa-en-venta-en-puertito-del-buceo-inmuebles-27142708
2 Dormitorios en La Blanqueada,230000,110.0,https://www.gallito.com.uy/encantadora-en-dos-plantas-con-garaje-jardin-y-parrillero-inmuebles-26882617
3 Dormitorios en Prado,230000,169.0,https://www.gallito.com.uy/venta-casa-de-3-dormitorios-y-escritorio-prado-cochera-inmuebles-27234846
3 Dormitorios en Paso Molino,230000,169.0,https://www.gallito.com.uy/venta-casa-de-3-dormitorios-y-escritorio-paso-molino-cocher-inmuebles-27161516
3 Dormitorios en Prado,236000,1.0,https://www.gallito.com.uy/muy-linda-casa-con-todas-las-comodidades-prox-molinos-de-inmuebles-26096666
2 Dormitorios en Reducto,240000,122.0,https://www.gallito.com.uy/venta-casa-2-dormitorios-cochera-fondo-verde-atahualpa-inmuebles-27241022
3 Dormitorios en Union,240000,130.0,https://www.gallito.com.uy/hermosa-casa-que-tiene-todo-gran-fondo-inmuebles-27324339
Más de 4 dormitorios en Reducto,243000,217.0,https://www.gallito.com.uy/dueño-vende-casa-mas-dos-apartamentos-padron-unico-reducto-inmuebles-27513898
3 Dormitorios en Prado,248000,90.0,https://www.gallito.com.uy/proximo-a-millan-y-micenas-padron-unico-en-1-planta-inmuebles-27149566
Más de 4 dormitorios en Brazo Oriental,249000,,https://www.gallito.com.uy/casa-en-venta-brazo-oriental-inmuebles-27379043
3 Dormitorios en Malvin,250000,,https://www.gallito.com.uy/oportunidad-exc-construccion-de-epoca-veala-si-banco-inmuebles-25623794
2 Dormitorios en Pocitos,250000,72.0,https://www.gallito.com.uy/venta-casa-2-dormitorios-con-garaje-a-estrenar-en-pocitos-inmuebles-27415912
2 Dormitorios en Carrasco Norte,250000,77.0,https://www.gallito.com.uy/carrasco-norte-unidades-duplex-2dorm-2b-2cochparrillero-inmuebles-25553624
2 Dormitorios en Malvin,250000,70.0,https://www.gallito.com.uy/venta-casa-en-malvin-ph-gran-jardin-2-dormitorios-y-gge-inmuebles-26261259
3 Dormitorios en Jacinto Vera,250000,,https://www.gallito.com.uy/imperial-vende-casa-3dorm-patio-y-demas-comodidades-inmuebles-27008296
2 Dormitorios en Pocitos,250000,72.0,https://www.gallito.com.uy/venta-casa-2-dormitorios-en-pocitos-a-estrenar-con-terraza-inmuebles-27272299
Más de 4 dormitorios en Prado,250000,226.0,https://www.gallito.com.uy/venta-de-2-inmuebles-en-el-mismo-padron-prado-inmuebles-26144533
2 Dormitorios en Puerto Buceo,250000,80.0,https://www.gallito.com.uy/casa-2-plantas-prox-puerto-de-buceo-inmuebles-27300544
