desc,valor,metraje,url,lat,lng,dormitorios,barrio,barrio_ine,cod_barrio_ine
3 Dormitorios en Aires Puros,190000,110.0,https://www.gallito.com.uy/excelente-garaje-2-autos-jaridn-fondo-piscina-parrillero-inmuebles-22201433,,,3 Dormitorios,Aires Puros,Aires Puros,29.0
2 Dormitorios en Colon,45000,50.0,https://www.gallito.com.uy/oficina-sosa-proximo-a-av-lezica-casa-en-ph-al-fondo-sobr-inmuebles-20974900,-34.80505,-56.23007,2 Dormitorios,Colon,"Colón Sureste, Abayubá",58.0
4 Dormitorios en Cerrito,45000,97.0,https://www.gallito.com.uy/oportunidad-casa-de-4-dormitorios-a-reparar-en-cerrito-inmuebles-17825081,-34.85944,-56.15642,4 Dormitorios,Cerrito,Cerrito,27.0
1 Dormitorio en Villa Española,48000,39.0,https://www.gallito.com.uy/oficina-sosa-apto-1-dorm-en-mercado-modelo-alquilado-inmuebles-17795367,-32.87555,-56.02015,1 Dormitorio,Villa Española,Villa Española,24.0
2 Dormitorios en La Teja,48000,50.0,https://www.gallito.com.uy/casa-a-1-cuadra-de-la-avenida-inmuebles-20260958,-34.86604,-56.23782,2 Dormitorios,La Teja,La Teja,38.0
2 Dormitorios en J. Hipodromo,50000,70.0,https://www.gallito.com.uy/casa-en-venta-jardines-del-hipodromo-lars-inmuebles-21036475,-34.83717,-56.15027,2 Dormitorios,J. Hipodromo,Jardines del Hipódromo,21.0
2 Dormitorios en Union,50000,50.0,https://www.gallito.com.uy/gran-oportunidad-vende-casita-al-frente-inmuebles-21115138,,,2 Dormitorios,Union,Unión,23.0
1 Dormitorio en Cerrito,53000,33.0,https://www.gallito.com.uy/baldovino-cerrito-tobas-proximo-antel-arena-inmuebles-22011006,,,1 Dormitorio,Cerrito,Cerrito,27.0
1 Dormitorio en Perez Castellanos,53000,33.0,https://www.gallito.com.uy/perez-castellanos-tobas-proximo-al-antel-arena-inmuebles-22011059,,,1 Dormitorio,Perez Castellanos,"Castro, P. Castellanos",26.0
2 Dormitorios en Prado,55000,57.0,https://www.gallito.com.uy/oficina-sosa-apto-en-molinos-de-raffo-y-ma-orticochea-inmuebles-19827404,-32.87555,-56.02015,2 Dormitorios,Prado,"Prado, Nueva Savona",39.0
