,desc,valor,metraje,url
0,2 Dormitorios en Ciudad Vieja,U$S 1,160,https://www.gallito.com.uy/cerrito-y-juan-carlos-gomez-inmuebles-14675869
1,Más de 4 dormitorios en Pocitos,U$S 1,300,https://www.gallito.com.uy/casa-avenida-brasil-inmuebles-19751157
2,Más de 4 dormitorios en Otro,U$S 100,500,https://www.gallito.com.uy/compro-terreno-o-“casas-antiguas”-inmuebles-19167900
3,3 Dormitorios en Maroñas Curva,U$S 115,82,https://www.gallito.com.uy/casa-muy-cuidada-a-1-cuadra-de-8-de-octubre-acepta-banco-inmuebles-19926539
4,3 Dormitorios en Goes,U$S 120,67,https://www.gallito.com.uy/oportunidad-inversion-dueño-vende-inmuebles-19980206
5,2 Dormitorios en Prado,U$S 199,,https://www.gallito.com.uy/dueño-vende-casa-ph-inmuebles-19426843
6,2 Dormitorios en Maroñas,$U 16.500,59,https://www.gallito.com.uy/2-dormitorios-2-baños-casa-en-alquiler-mateo-cortes-inmuebles-20067670
7,1 Dormitorio en Colon,$U 65.000,50,https://www.gallito.com.uy/muy-linda-casa-en-buena-ubicacion-inmuebles-18774332
8,3 Dormitorios en Arroyo Seco,$U 128.000,115,https://www.gallito.com.uy/aguada-amplia-casa-de-altos-con-balcon-inmuebles-19688480
9,3 Dormitorios en Carrasco,U$S 3.500,249,https://www.gallito.com.uy/casa-en-alquiler-inmuebles-18045887
10,3 Dormitorios en Prado Norte,$U 155.000,146,https://www.gallito.com.uy/impecable-casa-de-2-dormitorios-con-apartamento-2-ambientes-inmuebles-18181244
11,4 Dormitorios en Punta Carretas,$U 198.000,81,https://www.gallito.com.uy/punta-carretas-casa-de-altos-inmuebles-19673612
12,3 Dormitorios en Malvin,$U 230.000,95,https://www.gallito.com.uy/casa-venta-malvin-con-renta-reciclaca-3-dormitorios-inmuebles-20067209
13,3 Dormitorios en Malvin,$U 230.000,95,https://www.gallito.com.uy/casa-venta-malvin-con-renta-reciclaca-3-dormitorios-inmuebles-20001115
14,Más de 4 dormitorios en Carrasco,U$S 5.500,390,https://www.gallito.com.uy/proximo-arocena-multiples-destino-en-impecable-estado-inmuebles-19595527
15,Más de 4 dormitorios en Centro,$U 450.000,200,https://www.gallito.com.uy/casas-venta-montevideo-centro-inmuebles-19721355
16,1 Dormitorio en Union,U$S 24.800,36,https://www.gallito.com.uy/venta-casa-1-dormitorio-y-escritorio-con-patio-inmuebles-19889539
17,2 Dormitorios en Colon,U$S 28.000,55,https://www.gallito.com.uy/venta-casa-a-reciclar-2-dormitorios-en-colon-inmuebles-17853334
18,1 Dormitorio en Otro,U$S 30.000,35,https://www.gallito.com.uy/casa-a-reciclar-de-1-dormitorio-con-jardin-inmuebles-17356578
19,2 Dormitorios en Cerrito,U$S 30.000,,https://www.gallito.com.uy/joaquin-artigas-cerrito-de-la-victoria-inmuebles-18443118
20,2 Dormitorios en J. Hipodromo,U$S 31.000,,https://www.gallito.com.uy/av-acropolis-casi-av-jose-belloni-inmuebles-19378023
21,2 Dormitorios en Maroñas Curva,U$S 35.000,,https://www.gallito.com.uy/avellaneda-4628-casi-smidel-inmuebles-19378047
22,2 Dormitorios en Piedras Blancas,U$S 35.000,56,https://www.gallito.com.uy/casa-venta-piedras-blancas-2-dormitorios-inmuebles-19926787
23,2 Dormitorios en Union,U$S 35.000,43,https://www.gallito.com.uy/-vendido-fray-bentos-sencilla-2-dorm-venta-union-inmuebles-15782281
24,2 Dormitorios en Maroñas,U$S 35.000,58,https://www.gallito.com.uy/casa-para-reciclar-en-calle-barros-arana-esq-cno-maldonado-inmuebles-15959813
25,4 Dormitorios en Paso Carrasco,U$S 37.000,400,https://www.gallito.com.uy/casas-venta-montevideo-paso-carrasco-inmuebles-20086941
26,2 Dormitorios en Aires Puros,U$S 37.000,50,https://www.gallito.com.uy/lu741-vendo-casa-duplex-saldo-anv-en-aires-puros-inmuebles-19760653
27,1 Dormitorio en Malvin Norte,U$S 37.000,40,https://www.gallito.com.uy/frente-a-facultad-de-ciencias-buena-locomocion-y-servicios-inmuebles-16731961
28,3 Dormitorios en Piedras Blancas,U$S 39.000,,https://www.gallito.com.uy/helvecia-a-2-cuadras-de-av-belloni-inmuebles-19378050
29,1 Dormitorio en Nuevo Paris,U$S 39.000,30,https://www.gallito.com.uy/nuevo-paris-1-dormitorio-cochera-y-patio-uss-39000-inmuebles-16194136
30,2 Dormitorios en Cerro,U$S 39.500,56,https://www.gallito.com.uy/venta-casa-2-dormitorios-deposito-en-terreno-inmuebles-17547572
31,2 Dormitorios en Piedras Blancas,U$S 40.000,39,https://www.gallito.com.uy/casa-2-dormitorios-en-piedras-blancas-inmuebles-20059936
32,2 Dormitorios en La Teja,U$S 40.000,,https://www.gallito.com.uy/casa-a-reciclar-inmuebles-18646824
33,2 Dormitorios en Colon,U$S 40.000,70,https://www.gallito.com.uy/venta-casa-2-dormitorios-1-baño-inmuebles-19906485
34,1 Dormitorio en Atahualpa,U$S 40.000,,https://www.gallito.com.uy/refor-vende-casa-en-aires-puros-inmuebles-15313329
35,1 Dormitorio en Las Acacias,U$S 40.000,91,https://www.gallito.com.uy/linda-casa-en-ph-al-frente-y-con-patios-inmuebles-14971405
36,2 Dormitorios en Maroñas,U$S 41.000,44,https://www.gallito.com.uy/casa-en-geronimo-piccioli-esq-pavon-inmuebles-15847308
37,3 Dormitorios en Lezica,U$S 42.000,70,https://www.gallito.com.uy/casa-en-venta-en-lezica-inmuebles-16261544
38,1 Dormitorio en Piedras Blancas,U$S 42.000,,https://www.gallito.com.uy/br-aparicio-saravia-casi-roberto-ibañez-piedras-blancas-inmuebles-19648998
39,1 Dormitorio en Cno. Maldonado,U$S 42.000,,https://www.gallito.com.uy/cno-maldonado-6111-casi-napoles-inmuebles-19378054
40,1 Dormitorio en Las Acacias,U$S 42.000,,https://www.gallito.com.uy/estudio-azul-casa-con-buena-renta-inmuebles-12198173
41,2 Dormitorios en Aires Puros,U$S 43.000,269,https://www.gallito.com.uy/baldovino-fcogoyen-y-jbatlle-y-ordoñez-inmuebles-19238940
42,2 Dormitorios en Sayago,U$S 43.000,46,https://www.gallito.com.uy/mitad-contado-y-financiamos-la-otra-mitad-inmuebles-15736128
43,3 Dormitorios en Piedras Blancas,U$S 44.000,,https://www.gallito.com.uy/leandro-gomez-casi-av-mendoza-inmuebles-19378121
44,2 Dormitorios en Aires Puros,U$S 44.500,50,https://www.gallito.com.uy/casa-2-dormitorios-aires-puros-inmuebles-17709324
45,3 Dormitorios en Cno. Maldonado,U$S 45.000,74,https://www.gallito.com.uy/casa-y-apto-en-ph-con-amplio-terreno-inmuebles-16135890
46,2 Dormitorios en Punta Rieles,U$S 45.000,,https://www.gallito.com.uy/mazzarino-esq-chon-inmuebles-19378125
47,1 Dormitorio en Peñarol,U$S 45.000,39,https://www.gallito.com.uy/casa-de-planchada-en-ph-al-fondo-inmuebles-14480027
48,3 Dormitorios en Manga,U$S 45.000,120,https://www.gallito.com.uy/casa-en-barrio-capra-inmuebles-20001884
49,1 Dormitorio en Lezica,U$S 45.000,,https://www.gallito.com.uy/tipo-casita-al-fdo-camplio-terreno-inmuebles-18734888
50,2 Dormitorios en Cerrito,U$S 45.000,60,https://www.gallito.com.uy/excelente-oportunidad-casa-sobre-e-vega-2-dormitorios-inmuebles-16193612
51,1 Dormitorio en Cerrito,U$S 45.000,41,https://www.gallito.com.uy/casa-sobre-estanislao-vega-prox-av-burgues-inmuebles-16860179
52,2 Dormitorios en Belvedere,U$S 45.000,66,https://www.gallito.com.uy/casa-en-1-planta-con-potencial-de-terreno-a-reciclar-inmuebles-16919017
53,2 Dormitorios en Cerro,U$S 45.000,80,https://www.gallito.com.uy/venta-casa-barcelona-y-puerto-rico-cerro-inmuebles-19379567
54,1 Dormitorio en Sayago,U$S 46.500,40,https://www.gallito.com.uy/acm-casa-1-dorm-con-lindo-jardin-inmuebles-16754299
