cod_barrio_ine,valor,metraje,lat,lng,valor_metro
1,305000.0,315.5,-34.90656,-56.2049,873.5257313456366
2,270000.0,254.0,-34.9039,-56.188855000000004,1037.7358490566037
3,170000.0,125.0,-34.91026,-56.18612,1446.7241379310344
4,199000.0,150.0,-34.90177,-56.17606,1386.4734299516908
5,200000.0,139.0,-34.9111,-56.1807,1481.4814814814815
6,304000.0,169.0,-34.90912,-56.16744,1850.1994017946163
7,580000.0,239.0,-34.92016,-56.15911,2566.9696244917486
8,399999.5,182.5,-34.90715,-56.15074,2233.1715210355987
9,230000.0,110.0,-34.895245,-56.131535,2081.2706270627064
10,280000.0,150.0,-34.897009999999995,-56.150085000000004,2083.3333333333335
11,320000.0,159.0,-34.8906,-56.109415,2100.0
12,149000.0,105.0,-34.880685,-56.111540000000005,1357.142857142857
13,500000.0,250.0,-34.89347,-56.0817,2277.777777777778
14,630000.0,280.0,-34.88389,-56.0628,2394.3661971830984
15,335000.0,150.0,-34.8733,-56.06918,2156.8627450980393
16,340000.0,115.0,-34.870765000000006,-56.020939999999996,2916.6666666666665
17,89000.0,90.0,-34.85611,-56.13276,977.7777777777778
18,980000.0,378.0,-34.92116,-56.16515,3111.1111111111113
20,85000.0,82.0,-34.82536,-56.08906,930.952380952381
21,65000.0,80.0,-34.837675000000004,-56.137675,857.1428571428571
22,86500.0,84.0,-34.84742,-56.14904,994.3181818181818
23,129000.0,100.0,-34.87611,-56.13735,1212.121212121212
24,97000.0,89.0,-34.86422,-56.144645,1085.2272727272727
25,110000.0,100.0,-34.84403,-56.2382,1000.0
26,117500.0,110.0,-34.85872,-56.15602,1200.1661129568106
27,102500.0,100.0,-34.85349,-56.16958,1098.780487804878
28,94000.0,128.0,-34.841965,-56.156305,912.0879120879121
29,124500.0,100.0,-34.85365,-56.187635,1301.388888888889
30,86000.0,108.0,-34.81311,-56.17469,796.2962962962963
31,82000.0,111.0,-34.827165,-56.14154,858.2317073170732
34,96500.0,131.5,-34.82408,-56.20461,892.8571428571429
35,104950.0,117.5,-34.8829,-56.25312,958.4254143646408
36,49000.0,53.0,-34.88703,-56.27425,924.5283018867924
38,87000.0,100.0,-34.8635,-56.236019999999996,1069.4444444444443
39,265000.0,165.0,-34.86356,-56.202929999999995,1671.875
40,139500.0,100.0,-34.86992,-56.21205500000001,1439.655172413793
41,140000.0,147.0,-34.887525,-56.187960000000004,1057.8512396694214
42,147000.0,120.0,-34.87578,-56.18776,1237.5
43,190000.0,115.0,-34.864515,-56.18961,1706.6666666666667
44,179000.0,113.0,-34.87454,-56.1735,1483.2432432432433
45,139500.0,89.5,-34.87763,-56.17748,1346.4705882352941
46,170000.0,158.5,-34.87557,-56.1652,1179.4871794871797
47,249000.0,136.0,-34.88245,-56.15995,1776.1194029850747
48,122500.0,94.5,-34.888095,-56.17714,1172.6190476190477
49,145000.0,102.5,-34.88725,-56.173705,1276.3157894736842
50,225000.0,150.0,-34.893965,-56.169219999999996,1570.6806282722514
51,160000.0,100.0,-34.86464,-56.17905,1511.6339869281046
52,135000.0,104.0,-34.83189,-56.215464999999995,1290.5982905982905
54,120000.0,131.0,-34.851965,-56.226735,1000.0
55,196000.0,205.0,-34.866985,-56.333715,937.5
57,90000.0,120.0,-34.83446,-56.283855,688.622754491018
58,140000.0,140.0,-34.805255,-56.22383,1080.0
59,80000.0,110.0,-34.80346,-56.07972,636.3636363636364
60,130000.0,90.0,-34.80013,-56.24638,1173.3333333333333
62,90000.0,100.0,-34.80287,-56.14388,833.3333333333334
