desc,valor,url,lat,lng
3 Dormitorios - 145 m2,U$S 1,https://www.gallito.com.uy/venta-casa-3-dorm-terreno-920m2-rincon-del-indio-punta-d-inmuebles-19144472,-34.92605,-54.894
4 Dormitorios - 510 m2,U$S 798,https://www.gallito.com.uy/hermosa-casa-en-franja-mar-vista-al-mar-inmuebles-19585193,-34.90977,-55.02943
3 Dormitorios - 207 m2,U$S 5.200,https://www.gallito.com.uy/casa-en-playa-mansa-en-alquiler-de-temporada-ref-1452-inmuebles-17455571,-34.9408,-54.94299
4 Dormitorios,U$S 7.900,https://www.gallito.com.uy/casa-4-dormitorios-playa-mansa-punta-del-este-inmuebles-18510010,-34.93705,-54.94775
1 Ambiente - 40 m2,U$S 39.000,https://www.gallito.com.uy/venta-casa-la-barra-el-chorro-punta-del-este-inmuebles-19103387,-34.89949,-54.81126
1 Dormitorio - 1139 m2,U$S 74.000,https://www.gallito.com.uy/casa-punta-del-este-inmuebles-17575805,-34.90194,-54.86797
1 Ambiente - 32 m2,U$S 85.000,https://www.gallito.com.uy/casa-en-venta-inmuebles-18146568,-34.92777,-54.95606
2 Dormitorios - 80 m2,U$S 90.000,https://www.gallito.com.uy/casa-en-punta-del-este-chihuahua-ref-4749-inmuebles-20153712,-34.87209,-55.09042
1 Dormitorio,U$S 90.000,https://www.gallito.com.uy/casa-en-la-barra-1-dormitorios-inmuebles-17597948,,
2 Dormitorios,U$S 92.000,https://www.gallito.com.uy/casa-en-balneario-buenos-aires-proximo-a-punta-del-este-inmuebles-17840348,,
1 Dormitorio,U$S 96.000,https://www.gallito.com.uy/casa-en-la-barra-1-dormitorios-inmuebles-19896700,,
3 Dormitorios,U$S 100.000,https://www.gallito.com.uy/casa-venta-en-punta-del-este-inmuebles-19917539,,
1 Dormitorio - 40 m2,U$S 107.000,https://www.gallito.com.uy/casa-punta-del-este-1-dormitorio-y-jardin-al-frente-inmuebles-19708119,-34.94402,-54.93375
2 Dormitorios - 250 m2,U$S 110.000,https://www.gallito.com.uy/casa-punta-del-este-inmuebles-20139875,-34.91405,-54.93115
2 Dormitorios - 80 m2,U$S 115.000,https://www.gallito.com.uy/2-dormitorios-altos-de-la-laguna-maldonado-inmuebles-19872834,-34.8936,-54.98086
1 Dormitorio - 32 m2,U$S 118.000,https://www.gallito.com.uy/casa-en-punta-del-este-ocean-park-ref-4612-inmuebles-19916535,-34.87735,-55.11731
1 Dormitorio,U$S 125.000,https://www.gallito.com.uy/casa-en-venta-punta-del-este-inmuebles-19933127,,
3 Dormitorios,U$S 135.000,https://www.gallito.com.uy/venta-casa-en-punta-del-este-jardines-de-cordoba-3-dormi-inmuebles-19480923,,
3 Dormitorios,U$S 135.000,https://www.gallito.com.uy/venta-casa-en-punta-del-este-jardines-de-cordoba-3-dormi-inmuebles-19195608,,
3 Dormitorios,U$S 135.000,https://www.gallito.com.uy/venta-casa-en-punta-del-este-jardines-de-cordoba-inmuebles-18612763,,
3 Dormitorios,U$S 135.000,https://www.gallito.com.uy/venta-casa-en-punta-del-este-jardines-de-cordoba-3-dormi-inmuebles-17643487,,
2 Dormitorios,U$S 135.000,https://www.gallito.com.uy/casa-en-jardines-de-cã³rdoba-inmuebles-19848539,,
3 Dormitorios,U$S 135.000,https://www.gallito.com.uy/venta-casa-de-3-dormitorios-con-2-baã±os-en-jardines-de-cor-inmuebles-19894838,,
3 Dormitorios,U$S 135.000,https://www.gallito.com.uy/venta-casa-en-punta-del-este-jardines-de-cordoba-inmuebles-20110250,,
3 Dormitorios - 126 m2,U$S 135.000,https://www.gallito.com.uy/venta-de-casa-3-dormitorios-en-punta-del-este-ref-2730-inmuebles-17455583,-34.92171,-54.93715
2 Dormitorios - 70 m2,U$S 135.000,https://www.gallito.com.uy/2-dormitorios-calle-29-inmuebles-19872797,-34.96323,-54.944
