desc,valor,metraje
2 Dormitorios en Ciudad Vieja,U$S 1,160
Más de 4 dormitorios en Pocitos,U$S 1,300
Más de 4 dormitorios en Otro,U$S 100,500
3 Dormitorios en Maroñas Curva,U$S 115,82
3 Dormitorios en Goes,U$S 120,67
2 Dormitorios en Prado,U$S 199,
2 Dormitorios en Maroñas,$U 16.500,59
3 Dormitorios en Pocitos Nuevo,$U 38.000,150
1 Dormitorio en Colon,$U 65.000,50
3 Dormitorios en Arroyo Seco,$U 128.000,115
3 Dormitorios en Carrasco,U$S 3.500,249
3 Dormitorios en Prado Norte,$U 155.000,146
4 Dormitorios en Punta Carretas,$U 198.000,81
3 Dormitorios en Malvin,$U 230.000,95
3 Dormitorios en Malvin,$U 230.000,95
Más de 4 dormitorios en Carrasco,U$S 5.500,390
Más de 4 dormitorios en Centro,$U 450.000,200
1 Dormitorio en Union,U$S 24.800,36
2 Dormitorios en Colon,U$S 28.000,55
1 Dormitorio en Otro,U$S 30.000,35
2 Dormitorios en Cerrito,U$S 30.000,
2 Dormitorios en J. Hipodromo,U$S 31.000,
2 Dormitorios en Piedras Blancas,U$S 35.000,56
2 Dormitorios en Maroñas,U$S 35.000,58
2 Dormitorios en Union,U$S 35.000,43
2 Dormitorios en Maroñas Curva,U$S 35.000,
4 Dormitorios en Paso Carrasco,U$S 37.000,400
1 Dormitorio en Malvin Norte,U$S 37.000,40
2 Dormitorios en Aires Puros,U$S 37.000,50
3 Dormitorios en Piedras Blancas,U$S 39.000,
1 Dormitorio en Nuevo Paris,U$S 39.000,30
2 Dormitorios en Cerro,U$S 39.500,56
1 Dormitorio en Atahualpa,U$S 40.000,
2 Dormitorios en Piedras Blancas,U$S 40.000,39
1 Dormitorio en Las Acacias,U$S 40.000,91
2 Dormitorios en La Teja,U$S 40.000,
2 Dormitorios en Colon,U$S 40.000,70
2 Dormitorios en Maroñas,U$S 41.000,44
1 Dormitorio en Piedras Blancas,U$S 42.000,
1 Dormitorio en Cno. Maldonado,U$S 42.000,
3 Dormitorios en Lezica,U$S 42.000,70
1 Dormitorio en Las Acacias,U$S 42.000,
2 Dormitorios en Aires Puros,U$S 43.000,269
2 Dormitorios en Sayago,U$S 43.000,46
3 Dormitorios en Piedras Blancas,U$S 44.000,
2 Dormitorios en Aires Puros,U$S 44.500,50
2 Dormitorios en Belvedere,U$S 45.000,66
3 Dormitorios en Cno. Maldonado,U$S 45.000,74
3 Dormitorios en Manga,U$S 45.000,120
1 Dormitorio en Cerrito,U$S 45.000,41
1 Dormitorio en Lezica,U$S 45.000,
2 Dormitorios en Punta Rieles,U$S 45.000,
1 Dormitorio en Peñarol,U$S 45.000,39
2 Dormitorios en Cerro,U$S 45.000,80
2 Dormitorios en Cerrito,U$S 45.000,60
1 Dormitorio en Sayago,U$S 46.500,40
1 Dormitorio en Lezica,U$S 47.500,
4 Dormitorios en Maroñas,U$S 48.000,130
2 Dormitorios en Las Acacias,U$S 48.000,160
2 Dormitorios en La Teja,U$S 48.000,32
2 Dormitorios en Nuevo Centro,U$S 48.000,50
1 Dormitorio en Villa Española,U$S 48.000,39
2 Dormitorios en Maroñas,U$S 48.000,54
2 Dormitorios en Aires Puros,U$S 49.000,60
2 Dormitorios en Belvedere,U$S 49.000,62
1 Dormitorio en Union,U$S 49.000,
2 Dormitorios en Colon,U$S 49.000,50
1 Dormitorio en Cno. Maldonado,U$S 49.000,
