desc,valor,metraje,dormitorios,barrio
1 Dormitorio en Colon,65000,50.0,1 Dormitorio,Colon
3 Dormitorios en Arroyo Seco,128000,115.0,3 Dormitorios,Arroyo Seco
3 Dormitorios en Prado Norte,155000,146.0,3 Dormitorios,Prado Norte
4 Dormitorios en Punta Carretas,198000,81.0,4 Dormitorios,Punta Carretas
3 Dormitorios en Malvin,230000,95.0,3 Dormitorios,Malvin
3 Dormitorios en Malvin,230000,95.0,3 Dormitorios,Malvin
Más de 4 dormitorios en Centro,450000,200.0,Más de 4 dormitorios,Centro
2 Dormitorios en Belvedere,45000,66.0,2 Dormitorios,Belvedere
3 Dormitorios en Cno. Maldonado,45000,74.0,3 Dormitorios,Cno. Maldonado
3 Dormitorios en Manga,45000,120.0,3 Dormitorios,Manga
1 Dormitorio en Cerrito,45000,41.0,1 Dormitorio,Cerrito
1 Dormitorio en Lezica,45000,,1 Dormitorio,Lezica
2 Dormitorios en Punta Rieles,45000,,2 Dormitorios,Punta Rieles
1 Dormitorio en Peñarol,45000,39.0,1 Dormitorio,Peñarol
2 Dormitorios en Cerro,45000,80.0,2 Dormitorios,Cerro
2 Dormitorios en Cerrito,45000,60.0,2 Dormitorios,Cerrito
1 Dormitorio en Sayago,46500,40.0,1 Dormitorio,Sayago
1 Dormitorio en Lezica,47500,,1 Dormitorio,Lezica
4 Dormitorios en Maroñas,48000,130.0,4 Dormitorios,Maroñas
2 Dormitorios en Las Acacias,48000,160.0,2 Dormitorios,Las Acacias
2 Dormitorios en La Teja,48000,32.0,2 Dormitorios,La Teja
2 Dormitorios en Nuevo Centro,48000,50.0,2 Dormitorios,Nuevo Centro
1 Dormitorio en Villa Española,48000,39.0,1 Dormitorio,Villa Española
2 Dormitorios en Maroñas,48000,54.0,2 Dormitorios,Maroñas
2 Dormitorios en Aires Puros,49000,60.0,2 Dormitorios,Aires Puros
2 Dormitorios en Belvedere,49000,62.0,2 Dormitorios,Belvedere
1 Dormitorio en Union,49000,,1 Dormitorio,Union
2 Dormitorios en Colon,49000,50.0,2 Dormitorios,Colon
1 Dormitorio en Cno. Maldonado,49000,,1 Dormitorio,Cno. Maldonado
3 Dormitorios en Capurro,49600,90.0,3 Dormitorios,Capurro
2 Dormitorios en Aires Puros,50000,,2 Dormitorios,Aires Puros
1 Dormitorio en Peñarol,50000,43.0,1 Dormitorio,Peñarol
2 Dormitorios en Manga,50000,60.0,2 Dormitorios,Manga
4 Dormitorios en Paso Carrasco,50000,50.0,4 Dormitorios,Paso Carrasco
1 Dormitorio en La Comercial,50000,50.0,1 Dormitorio,La Comercial
1 Dormitorio en Villa Española,51000,,1 Dormitorio,Villa Española
1 Dormitorio en Villa Española,51990,40.0,1 Dormitorio,Villa Española
1 Dormitorio en Villa Española,51990,40.0,1 Dormitorio,Villa Española
2 Dormitorios en Colon,52000,70.0,2 Dormitorios,Colon
1 Dormitorio en Sayago,52000,,1 Dormitorio,Sayago
1 Dormitorio en Aires Puros,52500,25.0,1 Dormitorio,Aires Puros
2 Dormitorios en Peñarol,53000,30.0,2 Dormitorios,Peñarol
2 Dormitorios en Colon,53000,60.0,2 Dormitorios,Colon
2 Dormitorios en Perez Castellanos,53000,60.0,2 Dormitorios,Perez Castellanos
1 Dormitorio en Manga,54000,,1 Dormitorio,Manga
1 Dormitorio en Union,54000,72.0,1 Dormitorio,Union
1 Dormitorio en Manga,54000,42.0,1 Dormitorio,Manga
1 Dormitorio en Colon,54000,38.0,1 Dormitorio,Colon
1 Dormitorio en Union,54000,37.0,1 Dormitorio,Union
3 Dormitorios en Centro,54900,140.0,3 Dormitorios,Centro
3 Dormitorios en Colon,55000,51.0,3 Dormitorios,Colon
2 Dormitorios en Lezica,55000,52.0,2 Dormitorios,Lezica
2 Dormitorios en La Teja,55000,90.0,2 Dormitorios,La Teja
2 Dormitorios en Piedras Blancas,55000,100.0,2 Dormitorios,Piedras Blancas
2 Dormitorios en Peñarol,55000,44.0,2 Dormitorios,Peñarol
2 Dormitorios en Maroñas,55000,60.0,2 Dormitorios,Maroñas
2 Dormitorios en Union,55000,80.0,2 Dormitorios,Union
2 Dormitorios en Colon,55000,70.0,2 Dormitorios,Colon
3 Dormitorios en Cerro,55000,,3 Dormitorios,Cerro
2 Dormitorios en Belvedere,55000,103.0,2 Dormitorios,Belvedere
2 Dormitorios en Brazo Oriental,55000,75.0,2 Dormitorios,Brazo Oriental
1 Dormitorio en Paso De La Arena,55000,50.0,1 Dormitorio,Paso De La Arena
2 Dormitorios en Sayago,55000,55.0,2 Dormitorios,Sayago
3 Dormitorios en Nuevo Paris,55000,61.0,3 Dormitorios,Nuevo Paris
2 Dormitorios en Belvedere,55000,100.0,2 Dormitorios,Belvedere
2 Dormitorios en Piedras Blancas,55000,44.0,2 Dormitorios,Piedras Blancas
3 Dormitorios en Sayago,55000,136.0,3 Dormitorios,Sayago
2 Dormitorios en J. Hipodromo,55000,80.0,2 Dormitorios,J. Hipodromo
1 Dormitorio en Brazo Oriental,55000,45.0,1 Dormitorio,Brazo Oriental
2 Dormitorios en Malvin Norte,55000,70.0,2 Dormitorios,Malvin Norte
2 Dormitorios en Lezica,55000,52.0,2 Dormitorios,Lezica
1 Dormitorio en Cerrito,55000,35.0,1 Dormitorio,Cerrito
3 Dormitorios en Buceo,55555,,3 Dormitorios,Buceo
2 Dormitorios en Cerrito,56000,,2 Dormitorios,Cerrito
1 Dormitorio en Union,56000,45.0,1 Dormitorio,Union
2 Dormitorios en Cerrito,56000,40.0,2 Dormitorios,Cerrito
2 Dormitorios en Colon,56000,100.0,2 Dormitorios,Colon
2 Dormitorios en Cerrito,56000,54.0,2 Dormitorios,Cerrito
1 Dormitorio en Villa Española,56000,45.0,1 Dormitorio,Villa Española
2 Dormitorios en Paso Molino,56600,,2 Dormitorios,Paso Molino
2 Dormitorios en J. Hipodromo,57000,52.0,2 Dormitorios,J. Hipodromo
2 Dormitorios en Paso De La Arena,57000,200.0,2 Dormitorios,Paso De La Arena
2 Dormitorios en Cerro,57000,50.0,2 Dormitorios,Cerro
2 Dormitorios en Brazo Oriental,58000,35.0,2 Dormitorios,Brazo Oriental
2 Dormitorios en Perez Castellanos,58000,70.0,2 Dormitorios,Perez Castellanos
2 Dormitorios en Malvin Norte,58000,43.0,2 Dormitorios,Malvin Norte
2 Dormitorios en Cerro,58000,80.0,2 Dormitorios,Cerro
2 Dormitorios en Union,58000,50.0,2 Dormitorios,Union
2 Dormitorios en Peñarol,58000,,2 Dormitorios,Peñarol
2 Dormitorios en Las Acacias,58000,,2 Dormitorios,Las Acacias
3 Dormitorios en Ituzaingo,58000,70.0,3 Dormitorios,Ituzaingo
1 Dormitorio en Cno. Maldonado,58000,,1 Dormitorio,Cno. Maldonado
2 Dormitorios en Peñarol,58000,41.0,2 Dormitorios,Peñarol
1 Dormitorio en Prado,58000,40.0,1 Dormitorio,Prado
2 Dormitorios en Colon,58000,106.0,2 Dormitorios,Colon
2 Dormitorios en Colon,58000,,2 Dormitorios,Colon
2 Dormitorios en Prado,58000,57.0,2 Dormitorios,Prado
1 Dormitorio en La Teja,59000,70.0,1 Dormitorio,La Teja
3 Dormitorios en Colon,59000,150.0,3 Dormitorios,Colon
3 Dormitorios en Union,59000,60.0,3 Dormitorios,Union
