desc,valor,metraje,url,lat,lng
2 Dormitorios en Ciudad Vieja,U$S 1,160.0,https://www.gallito.com.uy/cerrito-y-juan-carlos-gomez-inmuebles-14675869,-34.9046,-56.2042
Más de 4 dormitorios en Pocitos,U$S 1,300.0,https://www.gallito.com.uy/casa-avenida-brasil-inmuebles-19751157,-34.90719,-56.15927
Más de 4 dormitorios en Otro,U$S 100,500.0,https://www.gallito.com.uy/compro-terreno-o-“casas-antiguas”-inmuebles-19167900,-34.90721,-56.19027
3 Dormitorios en Maroñas Curva,U$S 115,82.0,https://www.gallito.com.uy/casa-muy-cuidada-a-1-cuadra-de-8-de-octubre-acepta-banco-inmuebles-19926539,-34.86014,-56.13203
3 Dormitorios en Goes,U$S 120,67.0,https://www.gallito.com.uy/oportunidad-inversion-dueño-vende-inmuebles-19980206,-34.90721,-56.19027
2 Dormitorios en Prado,U$S 199,,https://www.gallito.com.uy/dueño-vende-casa-ph-inmuebles-19426843,,
2 Dormitorios en Maroñas,$U 16.500,59.0,https://www.gallito.com.uy/2-dormitorios-2-baños-casa-en-alquiler-mateo-cortes-inmuebles-20067670,,
1 Dormitorio en Colon,$U 65.000,50.0,https://www.gallito.com.uy/muy-linda-casa-en-buena-ubicacion-inmuebles-18774332,-34.81525,-56.21593
3 Dormitorios en Arroyo Seco,$U 128.000,115.0,https://www.gallito.com.uy/aguada-amplia-casa-de-altos-con-balcon-inmuebles-19688480,-34.88662,-56.19244
3 Dormitorios en Carrasco,U$S 3.500,249.0,https://www.gallito.com.uy/casa-en-alquiler-inmuebles-18045887,-34.87748,-56.05605
3 Dormitorios en Prado Norte,$U 155.000,146.0,https://www.gallito.com.uy/impecable-casa-de-2-dormitorios-con-apartamento-2-ambientes-inmuebles-18181244,-34.85063,-56.21735
4 Dormitorios en Punta Carretas,$U 198.000,81.0,https://www.gallito.com.uy/punta-carretas-casa-de-altos-inmuebles-19673612,-34.9164,-56.16131
3 Dormitorios en Malvin,$U 230.000,95.0,https://www.gallito.com.uy/casa-venta-malvin-con-renta-reciclaca-3-dormitorios-inmuebles-20067209,,
3 Dormitorios en Malvin,$U 230.000,95.0,https://www.gallito.com.uy/casa-venta-malvin-con-renta-reciclaca-3-dormitorios-inmuebles-20001115,,
Más de 4 dormitorios en Carrasco,U$S 5.500,390.0,https://www.gallito.com.uy/proximo-arocena-multiples-destino-en-impecable-estado-inmuebles-19595527,-34.88743,-56.05568
Más de 4 dormitorios en Centro,$U 450.000,200.0,https://www.gallito.com.uy/casas-venta-montevideo-centro-inmuebles-19721355,,
1 Dormitorio en Union,U$S 24.800,36.0,https://www.gallito.com.uy/venta-casa-1-dormitorio-y-escritorio-con-patio-inmuebles-19889539,-34.86219,-56.13098
2 Dormitorios en Colon,U$S 28.000,55.0,https://www.gallito.com.uy/venta-casa-a-reciclar-2-dormitorios-en-colon-inmuebles-17853334,-34.80829,-56.22464
1 Dormitorio en Otro,U$S 30.000,35.0,https://www.gallito.com.uy/casa-a-reciclar-de-1-dormitorio-con-jardin-inmuebles-17356578,-34.82467,-56.17911
2 Dormitorios en Cerrito,U$S 30.000,,https://www.gallito.com.uy/joaquin-artigas-cerrito-de-la-victoria-inmuebles-18443118,,
2 Dormitorios en J. Hipodromo,U$S 31.000,,https://www.gallito.com.uy/av-acropolis-casi-av-jose-belloni-inmuebles-19378023,-34.84285,-56.13538
2 Dormitorios en Maroñas Curva,U$S 35.000,,https://www.gallito.com.uy/avellaneda-4628-casi-smidel-inmuebles-19378047,,
2 Dormitorios en Piedras Blancas,U$S 35.000,56.0,https://www.gallito.com.uy/casa-venta-piedras-blancas-2-dormitorios-inmuebles-19926787,-34.82826,-56.14627
2 Dormitorios en Union,U$S 35.000,43.0,https://www.gallito.com.uy/-vendido-fray-bentos-sencilla-2-dorm-venta-union-inmuebles-15782281,,
