desc,valor,metraje,url,lat,lng,dormitorios,barrio,barrio_ine,cod_barrio_ine,valor_metro
1 Dormitorio en Colon,65000,50,https://www.gallito.com.uy/muy-linda-casa-en-buena-ubicacion-inmuebles-18774332,-34.81525,-56.21593,1 Dormitorio,Colon,"Colón Sureste, Abayubá",58.0,1300.0
3 Dormitorios en Arroyo Seco,128000,115,https://www.gallito.com.uy/aguada-amplia-casa-de-altos-con-balcon-inmuebles-19688480,-34.88662,-56.19244,3 Dormitorios,Arroyo Seco,,,1113.0434782608695
3 Dormitorios en Prado Norte,155000,146,https://www.gallito.com.uy/impecable-casa-de-2-dormitorios-con-apartamento-2-ambientes-inmuebles-18181244,-34.85063,-56.21735,3 Dormitorios,Prado Norte,"Prado, Nueva Savona",39.0,1061.6438356164383
4 Dormitorios en Punta Carretas,198000,81,https://www.gallito.com.uy/punta-carretas-casa-de-altos-inmuebles-19673612,-34.9164,-56.16131,4 Dormitorios,Punta Carretas,Punta Carretas,7.0,2444.4444444444443
3 Dormitorios en Malvin,230000,95,https://www.gallito.com.uy/casa-venta-malvin-con-renta-reciclaca-3-dormitorios-inmuebles-20067209,,,3 Dormitorios,Malvin,Malvín,11.0,2421.0526315789475
3 Dormitorios en Malvin,230000,95,https://www.gallito.com.uy/casa-venta-malvin-con-renta-reciclaca-3-dormitorios-inmuebles-20001115,,,3 Dormitorios,Malvin,Malvín,11.0,2421.0526315789475
Más de 4 dormitorios en Centro,450000,200,https://www.gallito.com.uy/casas-venta-montevideo-centro-inmuebles-19721355,,,Más de 4 dormitorios,Centro,Centro,2.0,2250.0
3 Dormitorios en Cno. Maldonado,45000,74,https://www.gallito.com.uy/casa-y-apto-en-ph-con-amplio-terreno-inmuebles-16135890,,,3 Dormitorios,Cno. Maldonado,Colón Centro y Noroeste,59.0,608.1081081081081
1 Dormitorio en Peñarol,45000,39,https://www.gallito.com.uy/casa-de-planchada-en-ph-al-fondo-inmuebles-14480027,-34.82083,-56.21378,1 Dormitorio,Peñarol,"Peñarol, Lavalleja",34.0,1153.8461538461538
3 Dormitorios en Manga,45000,120,https://www.gallito.com.uy/casa-en-barrio-capra-inmuebles-20001884,-34.80377,-56.11625,3 Dormitorios,Manga,Manga,62.0,375.0
2 Dormitorios en Cerrito,45000,60,https://www.gallito.com.uy/excelente-oportunidad-casa-sobre-e-vega-2-dormitorios-inmuebles-16193612,-34.85072,-56.16688,2 Dormitorios,Cerrito,Cerrito,27.0,750.0
1 Dormitorio en Cerrito,45000,41,https://www.gallito.com.uy/casa-sobre-estanislao-vega-prox-av-burgues-inmuebles-16860179,-34.84887,-56.17514,1 Dormitorio,Cerrito,Cerrito,27.0,1097.560975609756
2 Dormitorios en Belvedere,45000,66,https://www.gallito.com.uy/casa-en-1-planta-con-potencial-de-terreno-a-reciclar-inmuebles-16919017,-34.84817,-56.2359,2 Dormitorios,Belvedere,Belvedere,54.0,681.8181818181819
2 Dormitorios en Cerro,45000,80,https://www.gallito.com.uy/venta-casa-barcelona-y-puerto-rico-cerro-inmuebles-19379567,-34.88934,-56.25583,2 Dormitorios,Cerro,Cerro,35.0,562.5
1 Dormitorio en Sayago,46500,40,https://www.gallito.com.uy/acm-casa-1-dorm-con-lindo-jardin-inmuebles-16754299,,,1 Dormitorio,Sayago,Sayago,52.0,1162.5
2 Dormitorios en Nuevo Centro,48000,50,https://www.gallito.com.uy/prox-antel-arenas-patio-sin-gc-inmuebles-13714878,,,2 Dormitorios,Nuevo Centro,,,960.0
2 Dormitorios en Las Acacias,48000,160,https://www.gallito.com.uy/casa-en-venta-ideal-renta-las-acacias-inmuebles-18714095,,,2 Dormitorios,Las Acacias,Las Acacias,28.0,300.0
4 Dormitorios en Maroñas,48000,130,https://www.gallito.com.uy/casa-y-apartamento-jardines-del-hipodromo-inmuebles-19379703,-34.84199,-56.13076,4 Dormitorios,Maroñas,"Maroñas, Parque Guaraní",17.0,369.2307692307692
2 Dormitorios en La Teja,48000,32,https://www.gallito.com.uy/terreno-mas-casa-a-reciclar-en-la-teja-inmuebles-18253554,-34.86233,-56.23794,2 Dormitorios,La Teja,La Teja,38.0,1500.0
