desc,valor,metraje,url,lat,lng,dormitorios,barrio,barrio_ine,cod_barrio_ine
4 Dormitorios en Cerrito,53000,97.0,https://www.gallito.com.uy/oportunidad-casa-de-4-dormitorios-a-reparar-en-cerrito-inmuebles-17825081,-34.85944,-56.15642,4 Dormitorios,Cerrito,Cerrito,27.0
1 Dormitorio en Prado Norte,59000,50.0,https://www.gallito.com.uy/impecable-buena-vecindad-admite-prestamo-pb-094082543-veala-inmuebles-20864900,,,1 Dormitorio,Prado Norte,"Prado, Nueva Savona",39.0
2 Dormitorios en Maroñas,65000,,https://www.gallito.com.uy/muy-linda-casa-y-comoda-inmuebles-20192697,-34.90721,-56.19027,2 Dormitorios,Maroñas,"Maroñas, Parque Guaraní",17.0
2 Dormitorios en Union,65000,103.0,https://www.gallito.com.uy/venta-casa-union-2-dormitorios-1-baño-jardin-inmuebles-20773997,-34.87518,-56.13185,2 Dormitorios,Union,Unión,23.0
2 Dormitorios en La Teja,67000,,https://www.gallito.com.uy/dueño-vende-casa-en-la-teja-urgente-inmuebles-20997926,-34.87064,-56.2349,2 Dormitorios,La Teja,La Teja,38.0
2 Dormitorios en Malvin Norte,73000,60.0,https://www.gallito.com.uy/duplex-en-cooperativa-en-malvin-norte-inmuebles-20918333,-34.90721,-56.19027,2 Dormitorios,Malvin Norte,Malvín Norte,12.0
2 Dormitorios en La Teja,75000,55.0,https://www.gallito.com.uy/casa-padron-unico-con-jardin-patio-y-gge-inmuebles-20207933,-34.86357,-56.23652,2 Dormitorios,La Teja,La Teja,38.0
2 Dormitorios en Reducto,75000,,https://www.gallito.com.uy/imperdible-ideal-inversion-o-vivienda-–-a-reciclar-inmuebles-18342771,-34.87629,-56.19115,2 Dormitorios,Reducto,Reducto,42.0
2 Dormitorios en Union,77000,120.0,https://www.gallito.com.uy/oportunidad-casa-con-garage-inmuebles-19577091,,,2 Dormitorios,Union,Unión,23.0
2 Dormitorios en Jacinto Vera,79000,93.0,https://www.gallito.com.uy/venta-de-casa-o-local-con-93-m2-al-frente-para-reciclar-inmuebles-20640241,-34.87859,-56.17031,2 Dormitorios,Jacinto Vera,Jacinto Vera,44.0
3 Dormitorios en Paso Molino,80000,71.0,https://www.gallito.com.uy/venta-casa-paso-molino-3-dormitorios-1-baño-inmuebles-20797118,-34.86662,-56.23021,3 Dormitorios,Paso Molino,,
2 Dormitorios en Peñarol,80000,60.0,https://www.gallito.com.uy/casa-padron-unico-en-el-limite-entre-peñarol-y-sayago-inmuebles-21003017,-34.8326,-56.20294,2 Dormitorios,Peñarol,"Peñarol, Lavalleja",34.0
2 Dormitorios en Brazo Oriental,81000,56.0,https://www.gallito.com.uy/venta-casa-brazo-oriental-montevideo-imasuy-l-inmuebles-19488036,-34.86773,-56.18041,2 Dormitorios,Brazo Oriental,Brazo Oriental,51.0
1 Dormitorio en La Comercial,81000,65.0,https://www.gallito.com.uy/planta-baja-en-ph-culta-y-requena-casita-apartamento-inmuebles-21036181,-34.88613,-56.17241,1 Dormitorio,La Comercial,La Comercial,49.0
3 Dormitorios en Maroñas,85000,88.0,https://www.gallito.com.uy/casa-3-dormitorios-jardin-estufa-a-leña-y-fondo-inmuebles-21042616,-34.85692,-56.13874,3 Dormitorios,Maroñas,"Maroñas, Parque Guaraní",17.0
3 Dormitorios en Maroñas,85000,88.0,https://www.gallito.com.uy/casa-3-dormitorios-jardin-estufa-a-leña-y-fondo-inmuebles-20507648,-34.85692,-56.13874,3 Dormitorios,Maroñas,"Maroñas, Parque Guaraní",17.0
1 Dormitorio en Brazo Oriental,88000,,https://www.gallito.com.uy/venta-a-estrenar-inmuebles-20735805,,,1 Dormitorio,Brazo Oriental,Brazo Oriental,51.0
2 Dormitorios en Peñarol,88000,70.0,https://www.gallito.com.uy/venta-casa-dos-dormitorios-en-peñarol-inmuebles-20841820,-34.83389,-56.19844,2 Dormitorios,Peñarol,"Peñarol, Lavalleja",34.0
3 Dormitorios en Peñarol,89000,,https://www.gallito.com.uy/vendo-casa-esquina-amplia-y-luminosa-2o3-dorm-3-cocheras-inmuebles-20952131,-34.90721,-56.19027,3 Dormitorios,Peñarol,"Peñarol, Lavalleja",34.0
4 Dormitorios en Jacinto Vera,89000,,https://www.gallito.com.uy/casa-en-venta-jacinto-vera-inmuebles-21002915,,,4 Dormitorios,Jacinto Vera,Jacinto Vera,44.0
2 Dormitorios en Las Acacias,89000,80.0,https://www.gallito.com.uy/casa-2-dorm-venta-las-acacias-con-fondo-inmuebles-21100466,-34.84449,-56.1581,2 Dormitorios,Las Acacias,Las Acacias,28.0
1 Dormitorio en Malvin,90000,60.0,https://www.gallito.com.uy/prox-al-mar-espectacular-90000-financiacion-directa-inmuebles-16732184,,,1 Dormitorio,Malvin,Malvín,11.0
3 Dormitorios en La Comercial,92000,,https://www.gallito.com.uy/casa-buena-construccion-para-vivir-o-empresa-buen-punto-inmuebles-20779434,,,3 Dormitorios,La Comercial,La Comercial,49.0
2 Dormitorios en Colon,95000,110.0,https://www.gallito.com.uy/excelente-ubicacion-proximo-al-centro-de-colon-inmuebles-19057271,-34.80532,-56.22608,2 Dormitorios,Colon,"Colón Sureste, Abayubá",58.0
2 Dormitorios en Union,99000,109.0,https://www.gallito.com.uy/casa-y-monoambiente-venta-union-montevideo-imasuy-l-inmuebles-19487976,-34.8749,-56.14412,2 Dormitorios,Union,Unión,23.0
2 Dormitorios en La Comercial,99000,90.0,https://www.gallito.com.uy/casa-en-venta-inmuebles-20864654,-34.89187,-56.17027,2 Dormitorios,La Comercial,La Comercial,49.0
3 Dormitorios en Malvin,100000,,https://www.gallito.com.uy/excelente-casa-en-parque-guarani-de-3-dormitorios-con-garage-inmuebles-20929802,-34.85879,-56.11917,3 Dormitorios,Malvin,Malvín,11.0
2 Dormitorios en La Blanqueada,100000,,https://www.gallito.com.uy/preciosa-casita-al-frente-p-unico-azotea-uss-100000-veala-inmuebles-21123367,,,2 Dormitorios,La Blanqueada,La Blanqueada,47.0
2 Dormitorios en Paso De La Arena,100000,76.0,https://www.gallito.com.uy/hermoso-chalet-2-dorm-mas-apto-sub-suelo-502-m2-de-terren-inmuebles-16897115,-34.8376,-56.25581,2 Dormitorios,Paso De La Arena,Paso de la Arena,57.0
2 Dormitorios en Nuevo Paris,100000,100.0,https://www.gallito.com.uy/casa-en-venta-en-nuevo-paris-apta-para-compra-por-banco-inmuebles-20793476,,,2 Dormitorios,Nuevo Paris,"Mercado Modelo, Bolívar",25.0
1 Dormitorio en Carrasco,105000,45.0,https://www.gallito.com.uy/con-renta-casa-en-carrasco-norte-prox-colegio-british-inmuebles-20931162,-34.87433,-56.07264,1 Dormitorio,Carrasco,Carrasco,14.0
3 Dormitorios en Carrasco Norte,105000,110.0,https://www.gallito.com.uy/venta-casa-cruz-de-carrasco-tres-dormitorios-jardin-cochera-inmuebles-16135888,-34.87213,-56.09592,3 Dormitorios,Carrasco Norte,Carrasco Norte,15.0
2 Dormitorios en Reducto,108000,63.0,https://www.gallito.com.uy/dueño-vende-inmuebles-20681249,-34.90721,-56.19027,2 Dormitorios,Reducto,Reducto,42.0
